signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.6,open,1.87,-0.63,09:00,강한매수
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.8696,open,5.37,2.87,05:30,정보부족
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.7801,open,10.67,8.17,06:00,강한매도
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.77,open,11.3,8.8,06:30,중립
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.79,open,10.06,7.56,07:00,중립
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.8196,open,8.27,5.77,07:30,중립
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.82,open,8.24,5.74,08:00,중립
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.81,open,8.84,6.34,08:30,매도주의
2026-05-19,2026-05-20,MTVA,1020.0,매수관심,전고점돌파,-0.6,1.8696,open,5.37,2.87,09:00,강한매수
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,4.97,open,9.26,6.76,05:30,정보부족
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,4.67,open,16.27,13.77,06:00,강한매도
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,4.9,open,10.82,8.32,06:30,중립
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,4.82,open,12.66,10.16,07:00,중립
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,5.09,open,6.68,4.18,07:30,중립
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,5.02,open,8.17,5.67,08:00,중립
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,5.1,open,6.47,3.97,08:30,중립
2026-05-19,2026-05-20,WNW,725.2,중립,전고점돌파,4.6,5.01,open,8.38,5.88,09:00,매도주의
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,1.035,open,-11.58,-14.08,05:30,정보부족
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,0.911,open,0.45,-2.05,06:00,강한매도
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,0.9034,open,1.3,-1.2,06:30,강한매수
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,0.9031,open,1.33,-1.17,07:00,매도주의
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,0.9999,open,-8.48,-10.98,07:30,매수관심
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,0.9461,open,-3.28,-5.78,08:00,매도주의
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,0.9734,open,-5.99,-8.49,08:30,매수관심
2026-05-19,2026-05-20,RUBI,462.9,강한매도,전저점이탈,-24.5,0.8674,open,5.5,3.0,09:00,매도주의
