ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
AENT,6.42,-11.7,443.3,50.9,0.2,307.6,21.1,0.19,6.42,5.956,7.062
DBVT,11.85,-9.1,18.6,32.0,2.0,16.0,-11.8,0.04,11.85,11.446,13.035
DBGI,6.0,-8.4,15.9,18.4,21.0,0.9,60.0,0.36,6.0,5.18,6.6
LBGJ,2.25,-13.1,107.5,15.4,0.4,39.6,6.1,0.35,2.25,1.959,2.475
MASK,1.23,-8.2,73.1,11.8,0.3,45.3,-3.9,0.14,1.23,1.169,1.353
LASE,0.695,-8.3,13.4,11.1,6.5,1.7,-13.3,0.28,0.695,0.65,0.764
BBOT,4.95,-10.5,10.6,8.1,4.2,1.9,-26.7,0.07,4.95,4.753,5.445
