signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-09-10,HGTY,5.24,54.7,57.1,1.77,100.84,13.49,강한매수,완만한상승,1.0,3.5,11.3,0.3,안정,1.9,5.6,보통,13.49
2026-09-10,NUR,5.24,28.2,0.2,12.33,2.18,1.41,강한매수,전저점부근,0.95,3.79,2.2,,?,,,?,1.41
2026-09-10,WLTH,4.66,4.7,4.5,17.49,78.93,10.88,강한매수,전고점돌파,0.91,3.99,14.5,0.9,안정,6.7,6.6,보통,10.88
2026-09-10,IMPP,4.56,3.7,3.4,2.1,7.14,5.605,강한매수,전고점돌파,0.91,3.99,6.4,0.9,안정,11.0,9.7,스퀴즈후보,5.605
2026-09-10,SID,4.51,2.6,3.2,6.95,22.21,1.38,강한매수,전고점돌파,1.0,4.1,8.7,0.0,안정,1.2,2.4,보통,1.38
2026-09-10,ANGX,4.46,2.7,3.0,5.14,15.26,5.38,강한매수,전고점돌파,0.94,4.03,9.8,0.2,안정,4.6,3.2,보통,5.38
