ticker,pass,n_signals,trend,recent_signals,last_candle
UPC,True,1,상승,작은몸통양꼬리양봉@D-4,-
RUBI,True,1,하락,위꼬리양봉@D-4,-
PUSA,True,1,하락,양봉스프링@D-3,-
GME,False,0,하락,-,-
ABTS,False,0,하락,-,-
