추천일,종목,등급,진입,손절,cur,ret_%,MFE_%,MAE_%,stop_hit,days
2026-08-14,넥사다이내믹스,A,1146,1067,3725.0,225.0,239.4,-14.5,손절,14
2026-08-14,금강공업,B,4480,4092,4240.0,-5.4,4.9,-6.5,,14
2026-08-14,제이씨현시스템,B,3170,2955,3105.0,-2.1,13.6,-7.1,손절,14
2026-08-14,엔투텍,B,1391,1241,1319.0,-5.2,40.0,-9.3,,14
2026-08-14,현우산업,B,2780,2494,2520.0,-9.4,13.8,-10.1,,14
2026-08-14,삼보모터스,B,4570,4023,4040.0,-11.6,0.0,-15.3,손절,14
2026-08-14,태경산업,B,4880,4537,4800.0,-1.6,0.8,-3.9,,14
2026-08-14,티케이케미칼,B,1770,1686,1779.0,0.5,3.1,-7.4,손절,14
