signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-08-04,ADGM,5.78,4574.4,830.8,0.46,380.81,0.8,강한매수,전고점돌파,0.43,2.12,33.2,0.0,안정,0.5,1.0,보통,0.8
2026-08-04,BBHM,5.11,17.4,18.7,0.65,12.07,12.27,강한매수,전고점돌파,0.81,3.87,1.0,-13.3,안정,,,?,12.27
2026-08-04,BJDX,5.06,86.0,55.3,0.42,23.37,1.0,강한매수,완만한상승,0.69,3.13,10.0,0.0,안정,58.6,0.1,스퀴즈후보,1.0
2026-08-04,XGN,4.83,14.1,19.1,0.93,17.71,6.45,강한매수,전고점돌파,0.65,3.68,12.2,0.1,안정,4.5,4.3,보통,6.45
2026-08-04,PTIR,4.79,6.3,8.9,42.09,375.85,16.72,강한매수,전고점돌파,0.91,3.99,21.1,-4.6,안정,,,?,16.72
2026-08-04,SPCU,4.74,5.1,5.5,15.54,85.98,10.44,강한매수,전고점돌파,0.94,4.03,14.5,,?,,,?,10.44
