ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
SLN,15.43,-7.6,31.3,250.1,6.7,37.4,31.7,0.27,15.43,14.181,16.973
AUUD,1.32,-7.7,1332.0,180.4,0.2,1190.4,38.9,0.53,1.32,1.038,1.452
SION,4.5,-7.2,51.7,173.9,26.8,6.5,-90.9,0.5,4.5,3.89,4.95
HUDI,0.925,-11.9,2170.6,36.1,1.9,19.2,34.1,0.35,0.925,0.795,1.018
LRHC,0.7279,-9.1,673.7,22.5,0.1,282.9,-12.9,0.56,0.728,0.584,0.801
GENK,1.82,-6.7,417.0,13.0,0.1,189.3,-12.1,0.15,1.82,1.736,2.002
ARCX,16.895,-5.2,19.5,6.7,0.2,29.8,43.2,0.37,16.895,14.792,18.585
DTSS,0.7232,-11.8,490.4,5.9,0.0,483.4,-8.5,0.22,0.723,0.592,0.796
EVGN,0.6323,-11.1,30.6,4.6,0.1,34.0,-7.7,0.3,0.632,0.543,0.696
CELZ,1.2,-6.3,15.2,4.6,43.5,0.1,4.3,0.35,1.2,1.086,1.32
AIFA,2.11,-13.2,60.3,2.4,0.1,31.7,31.9,0.21,2.11,1.959,2.321
NAMI,3.18,-9.9,46.5,2.2,25.1,0.1,9.3,0.51,3.18,2.735,3.498
