ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
DCOY,3.85,-12.5,652.2,103.1,32.7,3.1,50.4,0.1,3.85,3.637,4.235
INNV,9.0,-7.5,27.4,59.3,3.4,17.2,-15.1,0.1,9.0,8.652,9.9
TLSI,5.0,-13.5,16.1,13.0,2.1,6.3,0.4,0.09,5.0,4.772,5.5
AUUD,1.31,-6.4,21.8,10.1,1.5,6.9,-3.0,0.2,1.31,1.164,1.441
YMAT,1.28,-5.2,68.5,5.8,8.5,0.7,-7.2,0.15,1.28,1.116,1.408
DAVA,2.0,-7.0,13.5,5.6,1.5,3.8,-28.3,0.4,2.0,1.843,2.2
FLNA,0.8701,-13.0,14.4,4.8,9.9,0.5,17.7,0.35,0.87,0.777,0.957
HAO,3.16,-5.7,51.8,4.0,0.2,18.5,14.9,0.68,3.16,2.668,3.476
TOPS,0.7094,-5.4,13.2,3.9,13.9,0.3,-1.2,0.59,0.709,0.63,0.78
GYGY,0.795,-12.6,13.0,3.5,0.4,8.6,-1.0,0.07,0.795,0.757,0.875
NCRA,1.84,-11.5,22.1,2.9,0.4,8.1,-8.9,0.29,1.84,1.649,2.024
VEEE,12.78,-5.5,14.8,2.6,52.8,0.0,-25.9,0.17,12.78,11.98,14.058
