signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-08-06,XCH,5.98,201.7,43.5,0.11,4.64,0.3,강한매수,전저점부근,0.86,3.68,4.2,8.6,희석진행,0.3,0.1,보통,0.3
2026-08-06,PEPG,5.0,10.9,9.9,1.09,10.79,2.41,강한매수,전고점돌파,0.88,3.96,14.8,0.1,안정,9.3,4.1,보통,2.41
2026-08-06,FEAM,4.87,7.0,5.2,0.21,1.1,1.74,강한매수,전고점돌파,0.93,4.02,27.9,0.0,안정,0.7,1.0,보통,1.74
2026-08-06,DCTH,4.86,7.4,9.2,5.01,46.2,15.47,강한매수,전고점돌파,0.91,3.99,10.3,0.0,안정,8.5,5.7,보통,15.47
2026-08-06,ALEC,4.82,14.3,17.3,0.6,10.44,1.83,강한매수,전고점돌파,0.63,3.66,22.8,0.0,안정,5.4,6.2,보통,1.83
2026-08-06,SGHT,4.74,5.0,4.7,1.17,5.52,7.09,강한매수,전고점돌파,0.95,4.04,22.5,1.2,안정,2.1,4.0,보통,7.09
