ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
NHIC,8.67,-10.4,66.7,44.9,9.2,4.9,-7.8,0.0,8.67,8.41,9.537
FRBT,17.65,-5.9,14.3,23.2,1.9,12.3,-4.7,0.04,17.65,17.072,19.415
NKLR,3.98,-5.2,12.6,17.4,1.8,9.8,-4.7,0.0,3.98,3.861,4.378
DAIC,3.55,-13.6,11.2,14.6,64.9,0.2,76.6,0.0,3.55,3.444,3.905
TUYA,1.64,-6.3,30.8,12.7,0.5,24.6,-6.3,0.24,1.64,1.552,1.804
SOHU,12.57,-5.6,17.0,11.0,0.9,12.1,-7.7,0.26,12.57,11.931,13.827
VRME,0.795,-7.5,357.9,6.7,1.1,6.0,18.2,0.66,0.795,0.65,0.875
DTSS,0.8822,-9.1,532.1,3.8,20.3,0.2,49.2,0.02,0.882,0.854,0.97
KXIN,1.45,-13.2,12.3,2.4,14.9,0.2,28.3,0.42,1.45,1.242,1.595
EVO,1.6,-8.0,36.6,2.2,0.1,21.5,-1.8,0.17,1.6,1.523,1.76
YCBD,0.4501,-11.9,64.7,2.1,0.1,26.6,-3.4,0.0,0.45,0.436,0.495
MNDR,1.28,-7.9,60.0,2.1,0.0,43.2,-9.2,0.05,1.28,1.232,1.408
