추천일,종목,등급,진입,손절,cur,ret_%,MFE_%,MAE_%,stop_hit,days
2026-08-14,넥사다이내믹스,A,1146,1067,5000.0,336.3,357.2,-100.0,손절,17
2026-08-14,금강공업,B,4480,4092,4745.0,5.9,20.5,-6.5,,17
2026-08-14,제이씨현시스템,B,3170,2955,3075.0,-3.0,13.6,-7.1,손절,17
2026-08-14,엔투텍,B,1391,1241,1340.0,-3.7,40.0,-9.3,,17
2026-08-14,현우산업,B,2780,2494,2490.0,-10.4,13.8,-11.2,손절,17
2026-08-14,삼보모터스,B,4570,4023,3955.0,-13.5,0.0,-15.3,손절,17
2026-08-14,태경산업,B,4880,4537,4840.0,-0.8,0.8,-3.9,,17
2026-08-14,티케이케미칼,B,1770,1686,1726.0,-2.5,3.1,-7.4,손절,17
