ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
LGHL,0.629,-5.8,22.2,34.4,3.4,10.1,-2.9,0.11,0.629,0.582,0.692
OLOX,2.05,-13.1,190.8,34.1,0.7,45.6,-2.4,0.15,2.05,1.921,2.255
BCTX,3.46,-14.5,106.4,30.2,0.4,67.3,-12.0,0.02,3.46,3.347,3.806
WLDS,2.27,-10.6,55.0,17.8,1.0,18.7,-10.3,0.13,2.27,2.153,2.497
JEM,3.82,-5.7,100.2,13.1,0.2,75.1,-6.6,0.35,3.82,3.57,4.202
SDEV,1.12,-9.7,41.7,5.4,1.6,3.3,0.0,0.42,1.12,0.989,1.232
NIKI,8.01,-5.3,11.6,2.1,0.2,8.6,-2.3,0.0,8.01,7.77,8.811
