signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-09-08,BNC,5.19,287.8,318.6,1.15,367.6,5.25,강한매수,전고점돌파,0.69,2.73,-2.2,-4.0,안정,2.6,6.3,보통,5.25
2026-09-08,TTRX,4.77,4.8,6.8,0.6,4.07,12.66,강한매수,전고점돌파,0.99,4.09,26.7,1.9,안정,,1.5,?,12.66
2026-09-08,MNTK,4.61,3.2,3.1,0.56,1.76,2.5,강한매수,전고점돌파,1.0,4.1,13.1,0.0,안정,3.4,7.8,보통,2.5
2026-09-08,NUAI,4.49,3.2,4.1,24.87,101.93,6.6,강한매수,전고점돌파,0.9,3.98,17.9,5.2,희석진행,25.7,4.1,스퀴즈후보,6.6
2026-09-08,SES,4.43,2.5,2.8,3.81,10.76,0.57,강한매수,전고점돌파,0.94,4.03,11.1,0.5,안정,13.4,2.3,숏높음,0.57
2026-09-08,HITI,4.42,2.5,2.1,1.06,2.26,2.69,강한매수,전고점돌파,0.93,4.02,4.7,-0.0,안정,,1.7,?,2.69
