ticker,pass,n_signals,trend,recent_signals,last_candle
AMIX,True,2,하락,"작은몸통양꼬리양봉@D-2, 양봉팽이군@D-2",-
TNMG,True,1,하락,작은몸통양꼬리양봉@D-4,-
FXHO,True,1,하락,꼬리군@D-1,도지
OLOX,False,0,하락,-,도지
