ticker,ratio,latest_close,latest_volume,baseline_volume,dollar_volume_M,intraday_chg_%,latest_date
CDT,2515.7,1.02,249471140,99167,254.46,-23.9,2026-06-18
ATPC,864.6,3.88,72449876,83792,281.11,18.7,2026-06-18
LNKS,511.9,2.68,69879693,136518,187.28,-10.4,2026-06-18
WKSP,428.3,0.738,207077675,483480,152.8,-22.8,2026-06-18
SAGT,363.1,0.99,25957186,71497,25.7,-8.3,2026-06-18
PMEC,246.4,0.616,13064404,53029,8.05,-7.6,2026-06-18
THH,107.0,0.3,20910658,195359,6.27,-3.2,2026-06-18
LFS,106.5,2.12,10914390,102442,23.14,0.0,2026-06-18
OBAI,62.2,0.826,19774858,317674,16.33,-22.8,2026-06-18
QNC,54.8,3.24,54105377,987234,175.3,-0.3,2026-06-18
CTNT,54.2,1.59,21057193,388265,33.48,-17.2,2026-06-18
BIRD,48.4,5.97,13521423,279480,80.72,-7.2,2026-06-18
ICCM,43.8,5.4,5291962,120779,28.58,-17.1,2026-06-18
EHGO,42.9,1.8,2204935,51422,3.97,-34.5,2026-06-18
CRVO,34.0,4.24,107909165,3170959,457.53,-9.4,2026-06-18
NEOV,24.4,2.78,17504193,718638,48.66,24.7,2026-06-18
PBK,22.5,0.84,19618977,873619,16.48,-16.0,2026-06-18
NUCL,21.5,11.25,4417987,205211,49.7,9.9,2026-06-18
EXFY,19.2,1.56,12528622,652857,19.54,23.8,2026-06-18
WYHG,18.8,4.89,1072655,57199,5.25,19.6,2026-06-18
WOK,14.6,3.2,10516048,720703,33.65,-43.8,2026-06-18
GPMT,13.3,1.32,904990,68017,1.19,-6.4,2026-06-18
FTW,13.1,12.57,879991,67371,11.06,2.4,2026-06-18
VRXA,12.9,4.48,772288,59877,3.46,-15.5,2026-06-18
NINE,12.2,11.25,628643,51514,7.07,-2.0,2026-06-18
LNAI,11.5,3.78,1042826,90751,3.94,6.2,2026-06-18
MDCX,11.4,0.458,12185095,1071151,5.57,25.8,2026-06-18
PRAA,11.0,14.94,6534960,594940,97.63,-0.9,2026-06-18
KLRA,10.7,19.9,4355889,407863,86.68,2.7,2026-06-18
GRI,10.5,1.88,642792,61395,1.21,-10.9,2026-06-18
AIAI,10.0,16.63,3818523,380639,63.5,9.8,2026-06-18
JAGU,9.8,2.19,893255,91401,1.96,12.9,2026-06-18
CTKB,9.6,3.77,18260872,1909380,68.84,-7.4,2026-06-18
CMND,9.5,3.07,1281676,135609,3.93,-2.5,2026-06-18
HYPR,9.4,1.6,4031117,428915,6.45,11.1,2026-06-18
TELO,9.4,1.42,1130331,120085,1.61,12.7,2026-06-18
SPTX,9.3,18.17,1326803,142634,24.11,4.2,2026-06-18
BFLY,9.3,8.9,60480073,6495558,538.27,23.4,2026-06-18
AVXL,9.3,2.73,8914887,963028,24.34,0.0,2026-06-18
MCRP,9.2,1.74,834225,90693,1.45,8.7,2026-06-18
OKUR,9.1,4.48,1651378,181257,7.4,3.5,2026-06-18
PRTH,9.0,7.17,2416267,267438,17.32,9.3,2026-06-18
CAST,8.8,8.07,113021411,12845270,912.08,-32.2,2026-06-18
BESS,8.8,5.82,2584474,293748,15.04,34.4,2026-06-18
FTEK,8.5,1.54,831791,98288,1.28,2.7,2026-06-18
KALA,8.2,3.61,959164,116762,3.46,26.7,2026-06-18
