ticker,pass,n_signals,trend,recent_signals,last_candle
LGCL,True,2,횡보,"작은몸통양꼬리양봉@D-0, 꼬리군@D-1",작은몸통양꼬리양봉
SNTG,True,2,횡보,"작은몸통양꼬리양봉@D-0, 양봉팽이군@D-0",작은몸통양꼬리양봉
SXTC,True,1,하락,위꼬리양봉@D-2,-
