ticker,pass,n_signals,trend,recent_signals,last_candle
TVRD,True,2,하락,"위꼬리양봉@D-4, 위꼬리양봉@D-3",음봉스프링
TPTS,True,1,불명,꼬리군@D-0,-
IOTR,False,0,횡보,-,-
