logged,signal_date,trade_date,ticker,entry,exit,ret_%,note
2026-06-17,2026-06-16,2026-06-17,AHMA,2.85,2.51,-11.93,"실매매(raw, 룰없음)"
2026-06-17,2026-06-16,2026-06-17,BEEM,1.31,1.31,0.0,"실매매(raw, 룰없음)"
2026-06-18,2026-06-17,2026-06-18,UTSI,2.53,2.64,4.35,"실매매(raw, 룰없음)"
2026-06-18,2026-06-17,2026-06-18,CLPT,17.7,17.77,0.4,"실매매(raw, 룰없음)"
