signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-09-02,VIOT,6.27,206.3,338.2,0.28,95.54,1.78,강한매수,전고점돌파,0.88,3.96,50.8,-2.0,안정,1.4,3.9,보통,1.78
2026-09-02,GPRO,5.43,32.9,5.6,84.07,473.98,1.69,강한매수,전고점돌파,0.84,3.91,38.5,6.7,희석진행,16.2,4.5,숏높음,1.69
2026-09-02,GYGY,5.35,46.1,2.6,9.8,25.7,1.73,강한매수,전고점돌파,0.66,3.69,30.1,,?,,0.1,?,1.73
2026-09-02,MNTK,5.2,15.9,15.7,0.19,2.92,2.13,강한매수,전고점돌파,0.92,4.0,15.8,0.0,안정,3.4,7.8,보통,2.13
2026-09-02,CURR,5.07,12.4,7.0,1.42,9.97,4.01,강한매수,전고점돌파,0.9,3.98,18.3,0.0,안정,1.9,6.6,보통,4.01
2026-09-02,IRD,4.74,5.9,6.1,3.67,22.24,4.45,강한매수,전고점돌파,0.89,3.97,15.3,2.2,안정,14.2,13.4,스퀴즈후보,4.45
