ticker,pass,n_signals,trend,recent_signals,last_candle
MRLN,True,3,하락,"작은몸통양꼬리양봉@D-3, 양봉팽이군@D-3, 꼬리군@D-1",-
XRTX,True,1,하락,작은몸통양꼬리양봉@D-4,도지
TURB,False,0,하락,-,-
WETO,False,0,하락,-,-
SSM,False,0,하락,-,-
