ticker,date,ratio,prior7_%,fwd_oc_%,fwd_cc_%,fwd_oc_net_%
FLD,2026-06-10,614.6,-25.5,8.9,-5.3,6.4
FLD,2026-06-11,20.6,-23.0,-4.9,-13.1,-7.4
FNGR,2026-06-03,52.9,14.3,-19.0,-9.6,-21.5
FNGR,2026-06-04,20.1,-2.7,-6.1,-7.3,-8.6
FRGT,2026-05-22,55.6,-15.0,-0.8,-6.6,-3.3
FRSX,2026-06-08,533.7,-31.4,10.2,19.3,7.7
FRSX,2026-06-09,27.4,-16.9,-0.6,-4.8,-3.1
FTFT,2026-06-11,27.2,-21.0,-8.0,-8.8,-10.5
FTMN,2026-05-19,11.6,-1.5,0.1,0.3,-2.4
FTMU,2026-06-12,19.0,-0.2,-0.3,0.3,-2.8
FULC,2026-06-02,93.6,-52.4,3.5,2.5,1.0
FULC,2026-06-03,14.6,-51.0,2.4,4.7,-0.1
FUTG,2026-05-22,317.7,-67.6,18.1,43.8,15.6
FUTG,2026-05-26,74.7,-52.4,-1.3,4.8,-3.8
FUTG,2026-05-27,52.1,-44.8,-13.4,-9.5,-15.9
GAMB,2026-05-11,20.6,13.2,-1.6,-2.5,-4.1
GAUZ,2026-05-11,83.6,-8.9,49.4,49.3,46.9
GCDT,2026-06-08,73.3,-43.5,-3.3,7.9,-5.8
GCDT,2026-06-10,806.7,21.1,-20.5,-23.3,-23.0
GCTK,2026-06-11,24.8,-38.0,1.6,-5.8,-0.9
GEMI,2026-05-15,10.2,11.2,-0.6,-3.8,-3.1
GFAI,2026-05-29,112.6,7.9,-12.4,13.2,-14.9
GFAI,2026-06-01,79.2,17.9,6.2,6.2,3.7
GFAI,2026-06-02,11.0,31.3,-3.6,-12.1,-6.1
GGRP,2026-05-14,133.9,9.2,11.9,15.9,9.4
GGRP,2026-05-15,26.9,28.8,19.7,21.7,17.2
GGRP,2026-05-18,15.3,56.4,-3.0,-5.8,-5.5
GIFT,2026-06-08,30.7,-4.1,11.9,11.6,9.4
GIPR,2026-05-19,2006.7,57.1,17.1,9.5,14.6
GIPR,2026-05-20,67.5,78.7,5.3,18.7,2.8
GIPR,2026-05-21,45.2,111.4,-17.5,-14.9,-20.0
GLBS,2026-06-10,14.3,5.4,-2.6,4.7,-5.1
GLE,2026-06-08,25.4,-11.4,2.1,10.3,-0.4
GLE,2026-06-09,379.8,0.9,-5.5,51.5,-8.0
GLE,2026-06-10,299.3,28.3,1.3,-18.9,-1.2
GLMD,2026-06-08,157.1,-30.7,14.7,11.2,12.2
GLNDW,2026-05-26,10.9,14.0,-18.7,-15.7,-21.2
GLOO,2026-06-08,15.7,-5.6,-5.3,-5.9,-7.8
GLXG,2026-06-11,137.8,43.4,-16.1,-29.8,-18.6
GLXG,2026-06-15,11.4,45.7,28.0,19.1,25.5
GMEX,2026-05-28,51.1,-11.5,-33.8,-16.9,-36.3
GMEX,2026-05-29,378.5,-14.0,-11.5,-21.8,-14.0
GMEX,2026-06-01,30.5,-34.7,5.8,11.3,3.3
GMEX,2026-06-02,13.4,-30.1,0.9,-10.2,-1.6
GMEX,2026-06-09,16.5,-43.9,-5.9,6.0,-8.4
GMM,2026-06-08,28.4,-39.7,-49.4,19.4,-51.9
GMM,2026-06-09,70.1,-21.2,-11.9,-45.6,-14.4
GMM,2026-06-12,35.4,-46.4,-15.7,2.4,-18.2
GNTA,2026-06-01,144.0,166.9,38.4,33.3,35.9
GOAI,2026-05-27,14.8,7.1,-10.1,-9.8,-12.6
GOVX,2026-05-18,760.2,25.6,3.1,-9.0,0.6
GOVX,2026-05-19,24.4,20.4,13.8,10.9,11.3
GOVX,2026-05-20,16.9,50.7,26.1,23.3,23.6
GRAN,2026-06-04,44.7,7.0,7.4,-4.7,4.9
GRAN,2026-06-05,21.5,1.0,34.4,39.7,31.9
GSUI,2026-05-26,12.5,-16.8,-1.6,-2.5,-4.1
GTBP,2026-05-14,24.6,15.5,-12.6,-10.3,-15.1
GXAI,2026-06-02,493.9,14.3,-1.4,2.9,-3.9
GXAI,2026-06-03,17.7,18.6,1.5,-1.4,-1.0
HAO,2026-06-08,21.4,-5.9,2.9,1.9,0.4
