signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-07-17,SLND,6.23,2755.0,3507.0,0.07,233.75,1.14,강한매수,전고점돌파,0.74,2.79,-0.4,0.2,안정,2.5,1.5,보통,1.14
2026-07-17,PESI,4.67,7.3,6.9,6.43,44.42,17.46,강한매수,전고점돌파,0.76,3.81,16.8,14.3,희석진행,8.8,5.9,보통,17.46
2026-07-17,WU,4.62,4.3,4.1,49.99,206.23,8.88,강한매수,전고점돌파,0.91,3.99,7.8,-0.3,안정,19.9,6.0,스퀴즈후보,8.88
2026-07-17,GPRE,4.59,5.3,6.0,16.48,98.98,19.23,강한매수,전고점돌파,0.81,3.87,9.1,0.3,안정,21.5,8.8,스퀴즈후보,19.23
2026-07-17,AMWL,4.55,2.9,3.9,1.54,5.99,13.23,강한매수,전고점돌파,0.99,4.09,19.5,0.9,안정,1.2,1.7,보통,13.23
2026-07-17,FDMMU,4.53,10.7,0.7,11.2,7.49,9.97,강한매수,완만한상승,1.0,3.5,0.2,,?,,,?,9.97
