code,name,market,ratio,last_close,day_chg_%,latest_vol,baseline_vol,trade_value_억
162300,신스틸,KOSDAQ,70.0,2105.0,0.0,8190918,116953,172.4
003060,에이프로젠바이오로직스,KOSPI,63.8,1810.0,4.8,8028896,125914,145.3
234690,녹십자웰빙,KOSDAQ,37.9,10340.0,-3.8,1746596,46072,180.6
036090,위지트,KOSDAQ,34.6,1361.0,8.5,6477220,187273,88.2
048770,TPC로보틱스,KOSDAQ,27.2,3965.0,30.0,1859688,68454,73.7
023790,동일스틸럭스,KOSDAQ,26.9,1447.0,-0.3,2040062,75928,29.5
015590,DKME,KOSPI,23.4,1492.0,11.3,720970,30778,10.8
300120,라온피플,KOSDAQ,20.1,3325.0,3.3,4547863,226772,151.2
057680,티사이언티픽,KOSDAQ,18.2,1960.0,10.8,1164079,63893,22.8
071090,하이스틸,KOSPI,18.0,3125.0,1.1,1051653,58366,32.9
009900,명신산업,KOSPI,16.1,8630.0,11.1,1466586,91196,126.6
059120,아진엑스텍,KOSDAQ,13.8,7140.0,3.3,2100484,151728,150.0
079950,인베니아,KOSDAQ,13.2,1419.0,9.6,588301,44569,8.3
131760,파인텍,KOSDAQ,12.2,1448.0,2.2,717131,58878,10.4
007460,에이프로젠,KOSPI,10.8,2160.0,3.8,2885190,266390,62.3
101000,KS인더스트리,KOSDAQ,10.7,1094.0,29.9,1115493,103876,12.2
089790,제이티,KOSDAQ,10.2,4785.0,-6.2,396637,38703,19.0
459550,알트,KOSDAQ,8.4,2535.0,-1.4,16897278,2021341,428.3
030530,원익홀딩스,KOSDAQ,7.9,22500.0,29.9,7134377,902012,1605.2
003160,디아이,KOSPI,7.2,31250.0,2.6,756533,105532,236.4
053950,경남제약,KOSDAQ,6.8,1920.0,-2.7,308035,45602,5.9
053260,금강철강,KOSDAQ,6.7,6030.0,-5.6,915202,136559,55.2
058610,에스피지,KOSDAQ,6.7,94200.0,12.4,1109412,165145,1045.1
484810,티엑스알로보틱스,KOSDAQ,6.6,13760.0,6.8,1303641,198676,179.4
294570,쿠콘,KOSDAQ,6.5,30550.0,14.2,644484,99334,196.9
310870,디와이씨,KOSDAQ,6.4,1547.0,15.0,548793,85311,8.5
158430,아톤,KOSDAQ,6.3,4850.0,8.3,793359,126834,38.5
090360,로보스타,KOSDAQ,6.2,76400.0,9.0,393898,63694,300.9
014950,삼익제약,KOSDAQ,6.1,6760.0,19.2,8782308,1432306,593.7
465770,STX그린로지스,KOSPI,5.9,3750.0,-1.8,4772538,809656,179.0
094480,갤럭시아머니트리,KOSDAQ,5.7,6120.0,10.9,3278847,579394,200.7
051160,지어소프트,KOSDAQ,5.7,10860.0,10.1,284499,49924,30.9
071280,로체시스템즈,KOSDAQ,5.7,7480.0,13.9,459911,80191,34.4
036460,한국가스공사,KOSPI,5.3,35100.0,-6.9,528640,99593,185.6
003530,한화투자증권,KOSPI,5.2,5100.0,9.0,7274481,1386268,371.0
032940,원익,KOSDAQ,5.2,10050.0,17.1,14596441,2816282,1466.9
138360,앤로보틱스,KOSDAQ,5.1,1730.0,2.3,1175687,232589,20.3
000890,보해양조,KOSPI,5.1,1406.0,-2.4,960757,189276,13.5
026040,제이에스티나,KOSDAQ,5.0,2630.0,4.2,577897,116082,15.2
002710,TCC스틸,KOSPI,4.9,11180.0,-4.4,244771,50351,27.4
263750,펄어비스,KOSDAQ,4.6,34500.0,11.5,1059218,229593,365.4
441270,파인엠텍,KOSDAQ,4.6,9350.0,1.4,1976651,431194,184.8
000540,흥국화재,KOSPI,4.3,3695.0,-6.7,292704,67671,10.8
056080,유진로봇,KOSDAQ,4.2,11890.0,7.7,645382,154518,76.7
215100,로보로보,KOSDAQ,4.2,4155.0,5.5,209256,49837,8.7
030960,양지사,KOSDAQ,4.1,4790.0,5.3,156202,38192,7.5
125490,한라캐스트,KOSDAQ,4.1,10860.0,8.3,2924254,712724,317.6
004710,한솔테크닉스,KOSPI,4.0,8460.0,-0.4,1432446,356726,121.2
064290,인텍플러스,KOSDAQ,4.0,40150.0,16.7,685289,169749,275.1
234340,헥토파이낸셜,KOSDAQ,4.0,25250.0,13.5,2829009,704474,714.3
090460,비에이치,KOSPI,3.8,21850.0,10.7,2926650,760653,639.5
333430,일승,KOSDAQ,3.8,3840.0,2.1,263410,69345,10.1
