signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-07-08,TVRD,5.92,135.6,8.4,23.29,195.76,5.0,강한매수,전고점돌파,0.74,3.79,54.8,0.0,안정,4.3,7.1,보통,5.0
2026-07-08,FRTT,5.39,34.6,1.6,10.65,16.59,1.3,강한매수,전고점돌파,0.79,3.85,45.7,,?,,0.2,?,1.3
2026-07-08,VANI,5.14,12.7,2.0,1.9,3.71,1.6,강한매수,전고점돌파,0.95,4.04,17.6,1.9,안정,0.9,2.0,보통,1.6
2026-07-08,CBUS,5.03,8.9,12.3,0.3,3.71,1.82,강한매수,전고점돌파,0.98,4.08,23.8,0.2,안정,8.6,17.1,보통,1.82
2026-07-08,ESPR,5.0,8.0,6.7,24.61,165.08,3.19,강한매수,전고점돌파,1.0,4.1,0.9,0.3,안정,8.2,2.2,보통,3.19
2026-07-08,KEYY,4.81,20.6,7.0,1.61,11.23,9.87,강한매수,완만한상승,1.0,3.5,0.1,,?,,,?,9.87
