sym,verdict,reason,signals,last_candle,base,drop_peak_%,pos_in_base_%,from_low_%,name
227950.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,-,베이스(완만),87.0,16.0,49.0,엔투텍
092300.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"양봉스프링, 위꼬리양봉",위꼬리양봉,베이스(완만),65.0,30.0,49.0,현우산업
014280.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,베이스(완만),59.0,21.0,31.0,금강공업
053700.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),54.0,16.0,30.0,삼보모터스
104480.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",위꼬리양봉,베이스(완만),77.0,34.0,49.0,티케이케미칼
263020.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),57.0,27.0,22.0,디케이앤디
010690.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,도지,베이스(완만),60.0,28.0,47.0,화신
015890.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,양봉스프링,베이스근접,58.0,27.0,13.0,태경산업
012210.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 3종,"양봉스프링, 작은몸통양꼬리양봉, 위꼬리양봉",-,베이스(완만),62.0,38.0,0.0,삼미금속
001230.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",위꼬리양봉,베이스(완만),58.0,43.0,39.0,동국홀딩스
011230.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),77.0,22.0,48.0,삼화전자
299660.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",-,베이스(완만),98.0,13.0,0.0,셀리드
092190.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,-,베이스(완만),62.0,38.0,0.0,서울바이오시스
037270.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),70.0,12.0,48.0,YG PLUS
024060.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",-,베이스(완만),70.0,7.0,20.0,흥구석유
347700.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),54.0,46.0,0.0,스피어
005860.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"양봉스프링, 작은몸통양꼬리양봉",-,베이스(완만),85.0,13.0,23.0,한일사료
071280.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 3종,"작은몸통양꼬리양봉, 상승다람쥐, 상승펀치",-,베이스(완만),68.0,11.0,37.0,로체시스템즈
328130.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"양봉스프링, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,베이스(완만),83.0,7.0,26.0,루닛
007610.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),73.0,27.0,0.0,선도전기
039860.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),61.0,18.0,40.0,나노엔텍
000680.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),67.0,20.0,24.0,LS네트웍스
281740.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"양봉스프링, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,베이스(완만),60.0,22.0,46.0,레이크머티리얼즈
013310.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,위꼬리양봉,베이스(완만),64.0,21.0,27.0,아진산업
035720.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,도지,베이스(완만),75.0,20.0,24.0,카카오
005010.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"양봉스프링, 위꼬리양봉",-,베이스(완만),51.0,22.0,30.0,휴스틸
030530.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),58.0,42.0,0.0,원익홀딩스
082270.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),84.0,4.0,31.0,젬백스
100220.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),56.0,31.0,32.0,비상교육
225570.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"양봉스프링, 작은몸통양꼬리양봉",-,베이스(완만),70.0,10.0,21.0,넥슨게임즈
