signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-09-03,CHPT,5.99,103.5,148.8,2.69,400.57,9.08,강한매수,전고점돌파,0.9,3.98,31.6,4.3,희석진행,22.6,14.4,스퀴즈후보,9.08
2026-09-03,CHGG,4.96,13.7,14.5,0.61,8.92,0.979,강한매수,전고점돌파,0.77,3.82,17.4,-0.8,안정,6.0,4.9,보통,0.979
2026-09-03,HCM,4.78,7.5,8.8,0.82,7.22,14.11,강한매수,전고점돌파,0.83,3.9,3.7,1.1,안정,0.2,3.9,보통,14.11
2026-09-03,MNTK,4.74,4.4,2.3,0.43,1.0,2.25,강한매수,전고점돌파,1.0,4.1,5.6,0.0,안정,3.4,7.8,보통,2.25
2026-09-03,HODU,4.71,4.2,3.5,1.85,6.5,16.86,강한매수,전고점돌파,0.99,4.09,19.3,,?,,,?,16.86
2026-09-03,DPRO,4.51,3.9,4.2,9.68,40.41,6.43,강한매수,전고점돌파,0.85,3.92,7.2,1.8,안정,10.9,5.0,스퀴즈후보,6.43
