sym,verdict,reason,signals,last_candle,from_low_%,near_base,name
086960.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,4.0,,MDS테크
147830.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,36.0,,제룡산업
142280.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,8.0,,녹십자엠에스
009290.KS,⚠ CHECK,최근 상승캔들 없음,-,-,10.0,,광동제약
018000.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,16.0,,유니슨
122990.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,45.0,,와이솔
253840.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,8.0,,수젠텍
257720.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,8.0,,실리콘투
007070.KS,⚠ CHECK,최근 상승캔들 없음,-,-,49.0,,GS리테일
099430.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,5.0,,바이오플러스
003620.KS,⚠ CHECK,최근 상승캔들 없음,-,-,12.0,,KG모빌리티
028300.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,40.0,,HLB
035890.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,49.0,,서희건설
486990.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,0.0,,노타
067170.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,47.0,,오텍
064260.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,6.0,,다날
001340.KS,⚠ CHECK,최근 상승캔들 없음,-,-,13.0,,PKC
279570.KS,⚠ CHECK,최근 상승캔들 없음,-,-,32.0,,케이뱅크
251270.KS,⚠ CHECK,최근 상승캔들 없음,-,-,3.0,,넷마블
056090.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,41.0,,시지메드텍
102260.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,5.0,✔,동성케미컬
039980.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,0.0,,폴라리스AI
394420.KQ,⚠ CHECK,캔들수 부족(54<60),,,,,리센스메디컬
128820.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,35.0,,대성산업
090430.KS,⚠ CHECK,최근 상승캔들 없음,-,-,4.0,,아모레퍼시픽
000220.KS,⚠ CHECK,최근 상승캔들 없음,-,-,11.0,✔,유유제약
322180.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,8.0,,LS티라유텍
439960.KQ,⚠ CHECK,캔들수 부족(26<60),,,,,코스모로보틱스
487580.KQ,⚠ CHECK,캔들수 부족(24<60),,,,,폴레드
003010.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,5.0,,혜인
092300.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,32.0,,현우산업
206650.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,8.0,,유바이오로직스
240550.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,2.0,,동방메디컬
009160.KS,⚠ CHECK,최근 상승캔들 없음,-,-,3.0,,SIMPAC
432720.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,40.0,,퀄리타스반도체
022100.KS,⚠ CHECK,최근 상승캔들 없음,-,-,30.0,,포스코DX
008420.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,21.0,,문배철강
014530.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,2.0,,극동유화
477850.KQ,⚠ CHECK,캔들수 부족(20<60),,,,,마키나락스
126700.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,15.0,,하이비젼시스템
038680.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,10.0,,에스넷
007110.KS,⚠ CHECK,최근 상승캔들 없음,-,-,21.0,,일신석재
211270.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,6.0,,AP위성
060370.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,38.0,,LS마린솔루션
000240.KS,⚠ CHECK,최근 상승캔들 없음,-,-,34.0,,한국앤컴퍼니
088260.KS,⚠ CHECK,최근 상승캔들 없음,-,-,7.0,,이리츠코크렙
017550.KS,⚠ CHECK,최근 상승캔들 없음,-,-,44.0,,수산세보틱스
161580.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,42.0,,필옵틱스
001250.KS,⚠ CHECK,최근 상승캔들 없음,-,-,38.0,,GS글로벌
321550.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,5.0,,티움바이오
035810.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,27.0,,이지홀딩스
115450.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,13.0,,HLB테라퓨틱스
003490.KS,⚠ CHECK,최근 상승캔들 없음,-,-,38.0,,대한항공
028670.KS,⚠ CHECK,최근 상승캔들 없음,-,-,49.0,,팬오션
0015G0.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,34.0,,그린광학
474170.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,24.0,,루미르
039560.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,17.0,,다산네트웍스
900140.KS,⚠ CHECK,최근 상승캔들 없음,-,-,6.0,,엘브이엠씨홀딩스
013310.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,15.0,,아진산업
478340.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,1.0,,나라스페이스테크놀로지
067630.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,22.0,,HLB생명과학
336570.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,0.0,,원텍
088980.KS,⚠ CHECK,최근 상승캔들 없음,-,-,2.0,✔,맥쿼리인프라
377190.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,3.0,,디앤디플랫폼리츠
000100.KS,⚠ CHECK,최근 상승캔들 없음,-,-,9.0,,유한양행
034230.KS,⚠ CHECK,최근 상승캔들 없음,-,-,11.0,,파라다이스
267320.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,5.0,,나인테크
042370.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,45.0,,비츠로테크
491000.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,13.0,,리브스메드
062970.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,45.0,,한국첨단소재
002700.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,10.0,,신일전자
334890.KS,⚠ CHECK,최근 상승캔들 없음,-,-,15.0,,이지스밸류플러스리츠
299660.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,16.0,,셀리드
018500.KS,⚠ CHECK,최근 상승캔들 없음,-,-,31.0,,동원금속
460860.KS,⚠ CHECK,최근 상승캔들 없음,-,-,24.0,,동국제강
101670.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,4.0,,하이드로리튬
452190.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,44.0,,한빛레이저
053700.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,10.0,,삼보모터스
058730.KS,⚠ CHECK,최근 상승캔들 없음,-,-,19.0,,다스코
021080.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,17.0,,에이티넘인베스트
361610.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,15.0,,SK아이이테크놀로지
0011T0.KQ,⚠ CHECK,캔들수 부족(33<60),,,,,채비
053690.KS,⚠ CHECK,최근 상승캔들 없음,-,-,23.0,,한미글로벌
225190.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,6.0,,LK삼양
0004V0.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,8.0,,엔비알모션
205100.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,5.0,,엑셈
100840.KS,⚠ CHECK,최근 상승캔들 없음,-,-,16.0,,SNT에너지
950250.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,6.0,,테라뷰
032640.KS,⚠ CHECK,최근 상승캔들 없음,-,-,17.0,✔,LG유플러스
025320.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,9.0,,시노펙스
096250.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,37.0,,와이즈넛
015750.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,30.0,,성우하이텍
035720.KS,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,8.0,,카카오
261780.KQ,⚠ CHECK,최근 상승캔들 없음,-,음봉스프링,19.0,,아리바이오랩
293940.KS,⚠ CHECK,최근 상승캔들 없음,-,-,10.0,✔,신한알파리츠
012030.KS,⚠ CHECK,최근 상승캔들 없음,-,-,48.0,,DB
070300.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,16.0,,엑스큐어
460940.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,12.0,,피앤에스로보틱스
060150.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,5.0,,인선이엔티
002800.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,7.0,,신신제약
011790.KS,⚠ CHECK,최근 상승캔들 없음,-,-,47.0,,SKC
005010.KS,⚠ CHECK,최근 상승캔들 없음,-,도지,24.0,,휴스틸
317240.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,30.0,,TS트릴리온
321370.KQ,⚠ CHECK,최근 상승캔들 없음,-,도지,10.0,,센서뷰
053260.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,44.0,,금강철강
0017J0.KQ,⚠ CHECK,캔들수 부족(6<60),,,,,세미티에스
024060.KQ,⚠ CHECK,최근 상승캔들 없음,-,-,1.0,,흥구석유
0117P0.KQ,⚠ CHECK,캔들수 부족(9<60),,,,,피스피스스튜디오
013360.KS,⛔ EXCLUDE,과상승(저점대비 +62% / 1.6배),양봉스프링,도지,62.0,,일성건설
200470.KQ,⛔ EXCLUDE,과상승(저점대비 +450% / 5.5배),위꼬리양봉,-,450.0,,에이팩트
023790.KQ,⛔ EXCLUDE,과상승(저점대비 +57% / 1.6배),"위꼬리양봉, 양봉스프링",-,57.0,,동일스틸럭스
198440.KQ,⛔ EXCLUDE,과상승(저점대비 +104% / 2.0배),"작은몸통양꼬리양봉, 양봉스프링",-,104.0,,강동씨앤엘
066430.KQ,⛔ EXCLUDE,과상승(저점대비 +245% / 3.5배),-,-,245.0,,아이로보틱스
004310.KS,⛔ EXCLUDE,과상승(저점대비 +153% / 2.5배),꼬리군,-,153.0,,현대약품
097800.KQ,⛔ EXCLUDE,과상승(저점대비 +59% / 1.6배),양봉스프링,-,59.0,,윈팩
052710.KQ,⛔ EXCLUDE,과상승(저점대비 +285% / 3.8배),작은몸통양꼬리양봉,-,285.0,,아모텍
033640.KQ,⛔ EXCLUDE,과상승(저점대비 +265% / 3.6배),작은몸통양꼬리양봉,-,265.0,,네패스
469610.KQ,⛔ EXCLUDE,과상승(저점대비 +52% / 1.5배),-,-,52.0,,이노테크
138930.KS,⛔ EXCLUDE,과상승(저점대비 +54% / 1.5배),"작은몸통양꼬리양봉, 꼬리군",-,54.0,,BNK금융지주
001820.KS,⛔ EXCLUDE,과상승(저점대비 +664% / 7.6배),-,-,664.0,,삼화콘덴서
198940.KQ,⛔ EXCLUDE,과상승(저점대비 +124% / 2.2배),"위꼬리양봉, 작은몸통양꼬리양봉",위꼬리양봉,124.0,,한주라이트메탈
006340.KS,⛔ EXCLUDE,과상승(저점대비 +317% / 4.2배),작은몸통양꼬리양봉,-,317.0,,대원전선
004710.KS,⛔ EXCLUDE,과상승(저점대비 +212% / 3.1배),"작은몸통양꼬리양봉, 양봉스프링",-,212.0,,한솔테크닉스
336260.KS,⛔ EXCLUDE,과상승(저점대비 +250% / 3.5배),작은몸통양꼬리양봉,-,250.0,,두산퓨얼셀
024840.KQ,⛔ EXCLUDE,과상승(저점대비 +202% / 3.0배),-,-,202.0,,KBI메탈
052690.KS,⛔ EXCLUDE,과상승(저점대비 +70% / 1.7배),양봉스프링,-,70.0,,한전기술
079650.KQ,⛔ EXCLUDE,과상승(저점대비 +406% / 5.1배),-,-,406.0,,서산
229000.KQ,⛔ EXCLUDE,과상승(저점대비 +66% / 1.7배),위꼬리양봉,음봉스프링,66.0,,젠큐릭스
047770.KQ,⛔ EXCLUDE,과상승(저점대비 +128% / 2.3배),양봉스프링,-,128.0,,코데즈컴바인
180400.KQ,⛔ EXCLUDE,과상승(저점대비 +83% / 1.8배),-,-,83.0,,DXVX
139130.KS,⛔ EXCLUDE,과상승(저점대비 +52% / 1.5배),작은몸통양꼬리양봉,-,52.0,,iM금융지주
086790.KS,⛔ EXCLUDE,과상승(저점대비 +63% / 1.6배),위꼬리양봉,-,63.0,,하나금융지주
232140.KQ,⛔ EXCLUDE,과상승(저점대비 +56% / 1.6배),작은몸통양꼬리양봉,-,56.0,,와이씨
065170.KQ,⛔ EXCLUDE,과상승(저점대비 +517% / 6.2배),"작은몸통양꼬리양봉, 양봉스프링",양봉스프링,517.0,,비엘팜텍
092790.KS,⛔ EXCLUDE,과상승(저점대비 +91% / 1.9배),-,-,91.0,,넥스틸
306620.KQ,⛔ EXCLUDE,과상승(저점대비 +62% / 1.6배),-,-,62.0,,지아이에스
271830.KQ,⛔ EXCLUDE,과상승(저점대비 +56% / 1.6배),-,-,56.0,,팸텍
064400.KS,⛔ EXCLUDE,과상승(저점대비 +66% / 1.7배),-,-,66.0,,LG씨엔에스
123010.KQ,⛔ EXCLUDE,과상승(저점대비 +231% / 3.3배),-,-,231.0,,알엔티엑스
080580.KQ,⛔ EXCLUDE,과상승(저점대비 +213% / 3.1배),위꼬리양봉,-,213.0,,오킨스전자
034220.KS,⛔ EXCLUDE,과상승(저점대비 +53% / 1.5배),위꼬리양봉,-,53.0,,LG디스플레이
040350.KQ,⛔ EXCLUDE,과상승(저점대비 +256% / 3.6배),-,-,256.0,,크레오에스지
125020.KQ,⛔ EXCLUDE,과상승(저점대비 +128% / 2.3배),-,-,128.0,,티씨머티리얼즈
007390.KQ,⛔ EXCLUDE,과상승(저점대비 +86% / 1.9배),-,-,86.0,,네이처셀
126640.KQ,⛔ EXCLUDE,과상승(저점대비 +371% / 4.7배),작은몸통양꼬리양봉,-,371.0,,화신정공
099440.KQ,⛔ EXCLUDE,과상승(저점대비 +61% / 1.6배),작은몸통양꼬리양봉,음봉스프링,61.0,,스맥
030530.KQ,⛔ EXCLUDE,과상승(저점대비 +418% / 5.2배),작은몸통양꼬리양봉,-,418.0,,원익홀딩스
388790.KQ,⛔ EXCLUDE,과상승(저점대비 +204% / 3.0배),-,음봉스프링,204.0,,라이콤
047810.KS,⛔ EXCLUDE,과상승(저점대비 +84% / 1.8배),-,-,84.0,,한국항공우주
089030.KQ,⛔ EXCLUDE,과상승(저점대비 +133% / 2.3배),-,-,133.0,,테크윙
048410.KQ,⛔ EXCLUDE,과상승(저점대비 +113% / 2.1배),작은몸통양꼬리양봉,음봉스프링,113.0,,현대바이오
316140.KS,⛔ EXCLUDE,과상승(저점대비 +54% / 1.5배),"작은몸통양꼬리양봉, 위꼬리양봉",-,54.0,,우리금융지주
232680.KQ,⛔ EXCLUDE,과상승(저점대비 +94% / 1.9배),-,-,94.0,,라온로보틱스
322000.KS,⛔ EXCLUDE,과상승(저점대비 +252% / 3.5배),위꼬리양봉,-,252.0,,HD현대에너지솔루션
321260.KQ,⛔ EXCLUDE,과상승(저점대비 +76% / 1.8배),-,-,76.0,,프로이천
075580.KS,⛔ EXCLUDE,과상승(저점대비 +50% / 1.5배),-,-,50.0,,세진중공업
105560.KS,⛔ EXCLUDE,과상승(저점대비 +56% / 1.6배),위꼬리양봉,-,56.0,,KB금융
036200.KQ,⛔ EXCLUDE,과상승(저점대비 +89% / 1.9배),-,-,89.0,,유니셈
100590.KQ,⛔ EXCLUDE,과상승(저점대비 +62% / 1.6배),작은몸통양꼬리양봉,-,62.0,,머큐리
059090.KQ,⛔ EXCLUDE,과상승(저점대비 +71% / 1.7배),"작은몸통양꼬리양봉, 상승펀치",-,71.0,,미코
069540.KQ,⛔ EXCLUDE,과상승(저점대비 +456% / 5.6배),-,-,456.0,,빛과전자
181710.KS,⛔ EXCLUDE,과상승(저점대비 +67% / 1.7배),-,-,67.0,,NHN
060250.KQ,⛔ EXCLUDE,과상승(저점대비 +57% / 1.6배),-,-,57.0,,NHN KCP
010170.KQ,⛔ EXCLUDE,과상승(저점대비 +2228% / 23.3배),위꼬리양봉,-,2228.0,,대한광통신
047040.KS,⛔ EXCLUDE,과상승(저점대비 +596% / 7.0배),-,-,596.0,,대우건설
242040.KQ,⛔ EXCLUDE,과상승(저점대비 +387% / 4.9배),-,-,387.0,,나무기술
950160.KQ,⛔ EXCLUDE,과상승(저점대비 +199% / 3.0배),-,-,199.0,,코오롱티슈진
347850.KQ,⛔ EXCLUDE,과상승(저점대비 +291% / 3.9배),"작은몸통양꼬리양봉, 상승펀치",작은몸통양꼬리양봉,291.0,,디앤디파마텍
456160.KQ,⛔ EXCLUDE,과상승(저점대비 +63% / 1.6배),-,음봉스프링,63.0,,지투지바이오
088130.KQ,⛔ EXCLUDE,과상승(저점대비 +122% / 2.2배),-,-,122.0,,동아엘텍
138080.KQ,⛔ EXCLUDE,과상승(저점대비 +235% / 3.3배),작은몸통양꼬리양봉,-,235.0,,오이솔루션
089230.KQ,⛔ EXCLUDE,과상승(저점대비 +192% / 2.9배),-,-,192.0,,THE E&M
082740.KS,⛔ EXCLUDE,과상승(저점대비 +142% / 2.4배),위꼬리양봉,-,142.0,,한화엔진
017900.KS,⛔ EXCLUDE,과상승(저점대비 +465% / 5.6배),-,-,465.0,,광전자
446540.KQ,⛔ EXCLUDE,과상승(저점대비 +140% / 2.4배),작은몸통양꼬리양봉,작은몸통양꼬리양봉,140.0,,메가터치
110990.KQ,⛔ EXCLUDE,과상승(저점대비 +121% / 2.2배),"작은몸통양꼬리양봉, 양봉스프링",작은몸통양꼬리양봉,121.0,,디아이티
402490.KQ,⛔ EXCLUDE,과상승(저점대비 +66% / 1.7배),-,-,66.0,,그린리소스
417840.KQ,⛔ EXCLUDE,과상승(저점대비 +429% / 5.3배),작은몸통양꼬리양봉,-,429.0,,저스템
289080.KQ,⛔ EXCLUDE,과상승(저점대비 +51% / 1.5배),-,-,51.0,,SV인베스트먼트
085910.KQ,⛔ EXCLUDE,과상승(저점대비 +782% / 8.8배),작은몸통양꼬리양봉,-,782.0,,네오티스
056080.KQ,⛔ EXCLUDE,과상승(저점대비 +91% / 1.9배),-,음봉스프링,91.0,,유진로봇
290650.KQ,⛔ EXCLUDE,과상승(저점대비 +205% / 3.1배),-,-,205.0,,엘앤씨바이오
000990.KS,⛔ EXCLUDE,과상승(저점대비 +265% / 3.7배),-,-,265.0,,DB하이텍
382800.KQ,⛔ EXCLUDE,과상승(저점대비 +143% / 2.4배),-,-,143.0,,지앤비에스 에코
308080.KQ,⛔ EXCLUDE,과상승(저점대비 +164% / 2.6배),-,-,164.0,,바이젠셀
048550.KQ,⛔ EXCLUDE,과상승(저점대비 +66% / 1.7배),양봉스프링,도지,66.0,,SM C&C
092870.KQ,⛔ EXCLUDE,과상승(저점대비 +175% / 2.7배),-,-,175.0,,엑시콘
090460.KS,⛔ EXCLUDE,과상승(저점대비 +121% / 2.2배),-,-,121.0,,비에이치
383310.KQ,⛔ EXCLUDE,과상승(저점대비 +51% / 1.5배),"작은몸통양꼬리양봉, 상승펀치",작은몸통양꼬리양봉,51.0,,에코프로에이치엔
077970.KS,⛔ EXCLUDE,과상승(저점대비 +74% / 1.7배),작은몸통양꼬리양봉,-,74.0,,STX엔진
229640.KS,⛔ EXCLUDE,과상승(저점대비 +112% / 2.1배),작은몸통양꼬리양봉,-,112.0,,LS에코에너지
267270.KS,⛔ EXCLUDE,과상승(저점대비 +99% / 2.0배),-,-,99.0,,HD건설기계
093370.KS,⛔ EXCLUDE,과상승(저점대비 +313% / 4.1배),-,-,313.0,,후성
203650.KQ,⛔ EXCLUDE,과상승(저점대비 +97% / 2.0배),-,음봉스프링,97.0,,드림시큐리티
234340.KQ,⛔ EXCLUDE,과상승(저점대비 +64% / 1.6배),-,-,64.0,,헥토파이낸셜
005440.KS,⛔ EXCLUDE,과상승(저점대비 +90% / 1.9배),위꼬리양봉,-,90.0,,현대지에프홀딩스
215790.KQ,⛔ EXCLUDE,과상승(저점대비 +496% / 6.0배),-,도지,496.0,,이노인스트루먼트
000880.KS,⛔ EXCLUDE,과상승(저점대비 +65% / 1.6배),-,-,65.0,,한화
129920.KQ,⛔ EXCLUDE,과상승(저점대비 +83% / 1.8배),위꼬리양봉,-,83.0,,대성하이텍
007810.KS,⛔ EXCLUDE,과상승(저점대비 +1156% / 12.6배),-,-,1156.0,,코리아써키트
397030.KQ,⛔ EXCLUDE,과상승(저점대비 +153% / 2.5배),작은몸통양꼬리양봉,-,153.0,,에이프릴바이오
072950.KQ,⛔ EXCLUDE,과상승(저점대비 +118% / 2.2배),-,-,118.0,,빛샘전자
417010.KQ,⛔ EXCLUDE,과상승(저점대비 +61% / 1.6배),-,음봉스프링,61.0,,나노팀
482630.KQ,⛔ EXCLUDE,과상승(저점대비 +156% / 2.6배),작은몸통양꼬리양봉,도지,156.0,,삼양엔씨켐
319660.KQ,⛔ EXCLUDE,과상승(저점대비 +849% / 9.5배),작은몸통양꼬리양봉,-,849.0,,피에스케이
019180.KS,⛔ EXCLUDE,과상승(저점대비 +160% / 2.6배),작은몸통양꼬리양봉,-,160.0,,티에이치엔
009420.KS,⛔ EXCLUDE,과상승(저점대비 +128% / 2.3배),작은몸통양꼬리양봉,-,128.0,,한올바이오파마
000720.KS,⛔ EXCLUDE,과상승(저점대비 +148% / 2.5배),작은몸통양꼬리양봉,-,148.0,,현대건설
353200.KS,⛔ EXCLUDE,과상승(저점대비 +988% / 10.9배),작은몸통양꼬리양봉,-,988.0,,대덕전자
243840.KQ,⛔ EXCLUDE,과상승(저점대비 +58% / 1.6배),-,-,58.0,,신흥에스이씨
046120.KQ,⛔ EXCLUDE,과상승(저점대비 +133% / 2.3배),-,-,133.0,,오르비텍
204320.KS,⛔ EXCLUDE,과상승(저점대비 +115% / 2.1배),"양봉스프링, 위꼬리양봉",-,115.0,,HL만도
071970.KS,⛔ EXCLUDE,과상승(저점대비 +68% / 1.7배),작은몸통양꼬리양봉,음봉스프링,68.0,,HD현대마린엔진
463020.KQ,⛔ EXCLUDE,과상승(저점대비 +62% / 1.6배),"위꼬리양봉, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,62.0,,뉴엔AI
066970.KS,⛔ EXCLUDE,과상승(저점대비 +168% / 2.7배),-,-,168.0,,엘앤에프
049630.KQ,⛔ EXCLUDE,과상승(저점대비 +153% / 2.5배),작은몸통양꼬리양봉,-,153.0,,재영솔루텍
160980.KQ,⛔ EXCLUDE,과상승(저점대비 +243% / 3.4배),작은몸통양꼬리양봉,도지,243.0,,싸이맥스
376900.KQ,⛔ EXCLUDE,과상승(저점대비 +226% / 3.3배),작은몸통양꼬리양봉,-,226.0,,로킷헬스케어
187790.KQ,⛔ EXCLUDE,과상승(저점대비 +317% / 4.2배),위꼬리양봉,-,317.0,,나노
092190.KQ,⛔ EXCLUDE,과상승(저점대비 +324% / 4.2배),-,-,324.0,,서울바이오시스
094820.KQ,⛔ EXCLUDE,과상승(저점대비 +68% / 1.7배),-,-,68.0,,일진파워
031330.KQ,⛔ EXCLUDE,과상승(저점대비 +459% / 5.6배),"위꼬리양봉, 양봉스프링",-,459.0,,에스에이엠티
083650.KQ,⛔ EXCLUDE,과상승(저점대비 +88% / 1.9배),-,음봉스프링,88.0,,비에이치아이
084990.KQ,⛔ EXCLUDE,과상승(저점대비 +76% / 1.8배),"위꼬리양봉, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,76.0,,헬릭스미스
078890.KQ,⛔ EXCLUDE,과상승(저점대비 +98% / 2.0배),-,-,98.0,,가온그룹
357880.KQ,⛔ EXCLUDE,과상승(저점대비 +168% / 2.7배),-,-,168.0,,SKAI
393890.KQ,⛔ EXCLUDE,과상승(저점대비 +98% / 2.0배),-,-,98.0,,더블유씨피
032820.KQ,⛔ EXCLUDE,과상승(저점대비 +369% / 4.7배),"양봉스프링, 작은몸통양꼬리양봉",음봉스프링,369.0,,우리기술
295310.KQ,⛔ EXCLUDE,과상승(저점대비 +239% / 3.4배),-,-,239.0,,에이치브이엠
368770.KQ,⛔ EXCLUDE,과상승(저점대비 +178% / 2.8배),-,-,178.0,,파이버프로
192410.KQ,⛔ EXCLUDE,과상승(저점대비 +268% / 3.7배),작은몸통양꼬리양봉,-,268.0,,오늘이엔엠
217730.KQ,⛔ EXCLUDE,과상승(저점대비 +133% / 2.3배),-,-,133.0,,강스템바이오텍
396270.KQ,⛔ EXCLUDE,과상승(저점대비 +84% / 1.8배),작은몸통양꼬리양봉,-,84.0,,넥스트칩
010690.KS,⛔ EXCLUDE,과상승(저점대비 +61% / 1.6배),작은몸통양꼬리양봉,음봉스프링,61.0,,화신
019210.KQ,⛔ EXCLUDE,과상승(저점대비 +348% / 4.5배),작은몸통양꼬리양봉,-,348.0,,와이지-원
007340.KS,⛔ EXCLUDE,과상승(저점대비 +102% / 2.0배),-,-,102.0,,DN오토모티브
032580.KQ,⛔ EXCLUDE,과상승(저점대비 +611% / 7.1배),"위꼬리양봉, 상승펀치",-,611.0,,피델릭스
348340.KQ,⛔ EXCLUDE,과상승(저점대비 +150% / 2.5배),-,-,150.0,,뉴로메카
425040.KQ,⛔ EXCLUDE,과상승(저점대비 +191% / 2.9배),-,-,191.0,,티이엠씨
209640.KQ,⛔ EXCLUDE,과상승(저점대비 +102% / 2.0배),-,도지,102.0,,와이제이링크
065440.KQ,⛔ EXCLUDE,과상승(저점대비 +58% / 1.6배),-,음봉스프링,58.0,,이루온
005950.KS,⛔ EXCLUDE,과상승(저점대비 +191% / 2.9배),-,-,191.0,,이수화학
452280.KQ,⛔ EXCLUDE,과상승(저점대비 +152% / 2.5배),-,-,152.0,,한선엔지니어링
144960.KQ,⛔ EXCLUDE,과상승(저점대비 +87% / 1.9배),-,-,87.0,,뉴파워프라즈마
161390.KS,⛔ EXCLUDE,과상승(저점대비 +75% / 1.8배),-,-,75.0,,한국타이어앤테크놀로지
076610.KQ,⛔ EXCLUDE,과상승(저점대비 +148% / 2.5배),작은몸통양꼬리양봉,-,148.0,,해성옵틱스
036710.KQ,⛔ EXCLUDE,과상승(저점대비 +235% / 3.3배),-,-,235.0,,심텍홀딩스
293580.KQ,⛔ EXCLUDE,과상승(저점대비 +50% / 1.5배),위꼬리양봉,-,50.0,,나우IB
120110.KS,⛔ EXCLUDE,과상승(저점대비 +104% / 2.0배),작은몸통양꼬리양봉,-,104.0,,코오롱인더
033790.KQ,⛔ EXCLUDE,과상승(저점대비 +163% / 2.6배),작은몸통양꼬리양봉,-,163.0,,피노
090360.KQ,⛔ EXCLUDE,과상승(저점대비 +317% / 4.2배),-,-,317.0,,로보스타
001200.KS,⛔ EXCLUDE,과상승(저점대비 +56% / 1.6배),"작은몸통양꼬리양봉, 위꼬리양봉",-,56.0,,유진투자증권
451760.KQ,⛔ EXCLUDE,과상승(저점대비 +63% / 1.6배),-,-,63.0,,컨텍
085620.KS,⛔ EXCLUDE,과상승(저점대비 +467% / 5.7배),작은몸통양꼬리양봉,-,467.0,,미래에셋생명
078150.KQ,⛔ EXCLUDE,과상승(저점대비 +62% / 1.6배),-,-,62.0,,HB테크놀러지
475150.KS,⛔ EXCLUDE,과상승(저점대비 +184% / 2.8배),"작은몸통양꼬리양봉, 위꼬리양봉",-,184.0,,SK이터닉스
025560.KS,⛔ EXCLUDE,과상승(저점대비 +333% / 4.3배),-,-,333.0,,미래산업
174900.KQ,⛔ EXCLUDE,과상승(저점대비 +223% / 3.2배),작은몸통양꼬리양봉,-,223.0,,앱클론
083450.KQ,⛔ EXCLUDE,과상승(저점대비 +218% / 3.2배),작은몸통양꼬리양봉,-,218.0,,GST
