ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
EHGO,2.25,-5.1,19.8,12.2,23.6,0.5,7.7,0.25,2.25,2.018,2.475
BKYI,4.25,-12.9,674.8,11.9,0.0,541.7,-6.5,0.27,4.25,3.705,4.675
GMM,2.47,-8.5,10.6,4.1,10.3,0.4,-10.8,0.16,2.47,2.328,2.717
