signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-06-23,BLZE,5.46,28.8,42.9,9.65,413.5,11.66,강한매수,전고점돌파,0.92,4.0,13.1,-0.1,안정,2.7,0.5,보통,11.66
2026-06-23,BOLD,5.39,901.4,1573.7,0.11,170.33,2.6,강한매수,전고점돌파,0.7,2.44,8.3,0.3,안정,0.1,0.1,보통,2.6
2026-06-23,CRMT,4.61,6.1,2.4,19.37,47.15,3.86,강한매수,전고점돌파,0.77,3.82,33.6,0.0,안정,24.1,17.6,스퀴즈후보,3.86
2026-06-23,INFH,4.59,6.4,9.2,1.89,17.33,16.199,강한매수,전고점돌파,0.73,3.78,18.7,,?,,,?,16.199
2026-06-23,RDY,4.46,2.3,2.6,23.28,59.4,14.31,강한매수,전고점돌파,1.0,4.1,3.3,0.0,안정,3.3,8.3,보통,14.31
2026-06-23,GUT,4.45,3.1,2.7,1.53,4.07,6.48,강한매수,전고점돌파,0.88,3.96,2.0,0.0,안정,0.9,4.2,보통,6.48
