ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
DCX,0.32,-10.9,782.4,24.7,0.1,409.9,-21.3,0.2,0.32,0.255,0.352
DAIC,2.01,-8.6,30.3,22.4,8.0,2.8,-11.8,0.08,2.01,1.931,2.211
DTSS,0.5912,-8.4,5421.8,19.3,0.0,2691.9,-10.3,0.23,0.591,0.514,0.65
WAFU,1.48,-12.9,391.1,11.7,3.4,3.4,8.0,0.3,1.48,1.339,1.628
VRA,4.02,-5.4,16.0,10.8,5.2,2.1,32.2,0.04,4.02,3.88,4.422
HXHX,0.3774,-10.2,212.4,2.2,0.0,73.5,-19.0,0.04,0.377,0.357,0.415
