ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
HCWC,0.3,-5.3,666.5,196.2,0.2,821.8,44.0,0.01,0.3,0.288,0.33
WFF,2.3,-9.1,3688.3,71.7,0.0,2523.7,-12.5,0.07,2.3,1.668,2.53
AZI,1.5,-10.2,149.7,16.9,11.5,1.5,48.5,0.18,1.5,1.397,1.65
AQB,1.17,-7.9,916.2,16.7,1.3,13.3,18.2,0.27,1.17,1.023,1.287
SAGT,0.75,-14.8,19.1,3.2,0.2,13.0,-4.2,0.04,0.75,0.722,0.825
FEMY,2.66,-14.5,53.1,2.9,0.1,23.7,-11.6,0.44,2.66,2.222,2.926
RPID,1.73,-13.5,20.0,2.5,0.2,12.3,-18.0,0.21,1.73,1.61,1.903
