code,name,market,ratio,last_close,day_chg_%,latest_vol,baseline_vol,trade_value_억
067290,JW신약,KOSDAQ,299.8,2100.0,-10.1,59589961,198741,1251.4
146060,율촌,KOSDAQ,201.5,1421.0,16.0,10414141,51692,148.0
004310,현대약품,KOSPI,94.8,8600.0,6.0,26511466,279747,2280.0
198440,강동씨앤엘,KOSDAQ,77.9,1859.0,30.0,18116825,232621,336.8
046390,삼화네트웍스,KOSDAQ,69.4,1950.0,30.0,2316784,33391,45.2
023790,동일스틸럭스,KOSDAQ,64.0,1542.0,1.2,8529734,133322,131.5
309930,조이웍스앤코,KOSDAQ,58.6,1203.0,-26.0,1770051,30215,21.3
091590,남화토건,KOSDAQ,58.4,4595.0,30.0,1870138,31996,85.9
330350,위더스제약,KOSDAQ,55.6,7850.0,-4.5,2094032,37642,164.4
290560,파라택시스이더리움,KOSDAQ,53.5,1365.0,30.0,2187270,40919,29.9
475430,키스트론,KOSDAQ,49.0,4935.0,7.5,5846643,119342,288.5
000890,보해양조,KOSPI,47.3,1651.0,16.0,3139558,66396,51.8
013360,일성건설,KOSPI,46.9,1794.0,2.3,6801159,144957,122.0
469610,이노테크,KOSDAQ,34.4,20100.0,1.5,1483847,43169,298.3
011700,한신기계,KOSPI,27.7,3010.0,2.7,5718487,206551,172.1
009470,삼화전기,KOSPI,24.8,42900.0,30.0,1934485,77883,829.9
014950,삼익제약,KOSDAQ,23.0,6630.0,-5.8,1375949,59951,91.2
382840,원준,KOSDAQ,18.1,7370.0,2.1,1243047,68803,91.6
014910,성문전자,KOSPI,16.4,2910.0,13.5,15358471,934511,446.9
114190,강원에너지,KOSDAQ,16.4,11030.0,7.1,965750,59063,106.5
044380,주연테크,KOSPI,15.4,1415.0,7.0,532839,34697,7.5
069330,유아이디,KOSDAQ,13.7,1080.0,6.7,633515,46198,6.8
122640,예스티,KOSDAQ,13.7,39500.0,17.4,6600712,483250,2607.3
355690,에이텀,KOSDAQ,13.4,5390.0,11.6,1912999,142535,103.1
126730,코칩,KOSDAQ,12.8,25950.0,14.3,5066613,396426,1314.8
130660,한전산업,KOSPI,12.4,13240.0,-5.1,2110370,170544,279.4
058430,포스코스틸리온,KOSPI,12.4,5980.0,-9.1,4189219,338342,250.5
066980,한성크린텍,KOSDAQ,12.0,2065.0,5.2,10313498,860782,213.0
071090,하이스틸,KOSPI,12.0,3465.0,-1.6,1984718,165890,68.8
189860,서전기전,KOSDAQ,11.8,6720.0,30.0,962076,81874,64.7
389680,유디엠텍,KOSDAQ,11.3,2240.0,6.2,1627164,143839,36.4
149950,아바텍,KOSDAQ,11.2,16260.0,15.2,2393441,213258,389.2
351320,넥사다이내믹스,KOSDAQ,10.6,1270.0,15.5,1325043,125146,16.8
413630,씨피시스템,KOSDAQ,10.5,2460.0,-4.5,888928,84328,21.9
265740,엔에프씨,KOSDAQ,10.4,5610.0,8.7,703186,67313,39.4
046970,우리로,KOSDAQ,9.7,8150.0,30.0,9933404,1029176,809.6
115440,우리넷,KOSDAQ,9.6,10410.0,1.2,2603342,272180,271.0
460940,피앤에스로보틱스,KOSDAQ,8.0,5530.0,-3.0,615390,76952,34.0
065170,비엘팜텍,KOSDAQ,7.4,2320.0,30.0,1666240,224334,38.7
092790,넥스틸,KOSPI,7.2,17220.0,7.1,2334348,324885,402.0
306620,지아이에스,KOSDAQ,6.8,2835.0,12.1,3802538,561861,107.8
457370,한켐,KOSDAQ,6.8,15060.0,8.8,9149204,1346809,1377.9
026940,부국철강,KOSPI,6.6,2555.0,7.8,3723596,564370,95.1
036010,아비코전자,KOSDAQ,6.1,12830.0,2.4,1355770,220505,173.9
320000,한울반도체,KOSDAQ,5.6,13710.0,30.0,577381,102737,79.2
317240,TS트릴리온,KOSDAQ,5.6,1090.0,-7.4,2247351,402038,24.5
006340,대원전선,KOSPI,5.6,11510.0,-6.7,22104027,3919332,2544.2
004710,한솔테크닉스,KOSPI,5.4,13980.0,-8.9,7478906,1391257,1045.6
052710,아모텍,KOSDAQ,5.4,31550.0,3.4,3437709,641137,1084.6
321370,센서뷰,KOSDAQ,5.2,2465.0,4.7,8460480,1618336,208.6
139990,아주스틸,KOSPI,5.1,2270.0,-6.8,437857,86071,9.9
161000,애경케미칼,KOSPI,4.9,11370.0,5.0,772657,158767,87.9
053260,금강철강,KOSDAQ,4.9,5350.0,-7.4,234007,47292,12.5
091440,한울소재과학,KOSDAQ,4.7,2190.0,5.3,734357,154884,16.1
424760,벨로크,KOSDAQ,4.7,2275.0,0.7,410227,86688,9.3
