signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-08-13,PMA,5.31,25.6,3.4,0.63,2.15,1.62,강한매수,전고점돌파,0.83,3.9,40.9,,?,8.8,0.1,보통,1.62
2026-08-13,DRMA,5.2,16.9,0.4,4.88,2.02,1.57,강한매수,전고점돌파,0.89,3.97,29.8,0.0,안정,1.6,0.7,보통,1.57
2026-08-13,AZ,5.17,14.2,16.0,1.53,24.47,8.1,강한매수,전고점돌파,0.93,4.02,15.7,-0.0,안정,10.6,22.3,스퀴즈후보,8.1
2026-08-13,GMRS,5.13,12.1,6.4,7.08,45.65,13.96,강한매수,전고점돌파,0.96,4.05,8.3,-0.0,안정,,2.5,?,13.96
2026-08-13,IVDA,5.01,548.2,27.8,3.45,95.99,0.525,강한매수,전고점돌파,0.56,2.27,11.7,4.1,희석진행,1.8,0.7,보통,0.525
2026-08-13,HCTI,5.0,726.9,213.5,0.37,78.25,1.73,강한매수,전고점돌파,0.45,2.14,33.1,3.1,희석진행,8.2,1.0,보통,1.73
