ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
CTGG,16.78,-5.9,16.2,34.4,1.9,18.1,-5.8,0.0,16.78,16.277,18.458
DGNX,1.48,-7.5,54.5,33.6,7.5,4.5,67.6,0.57,1.48,1.242,1.628
AVXX,6.84,-9.4,26.2,33.0,2.5,13.3,38.2,0.35,6.84,6.15,7.524
CTNT,1.66,-5.1,24.5,14.2,6.3,2.3,6.4,0.47,1.66,1.533,1.826
KTTA,0.5154,-8.1,111.8,13.4,0.2,73.1,-5.2,0.35,0.515,0.456,0.567
