ticker,pass,n_signals,trend,recent_signals,last_candle
XRTX,True,3,횡보,"작은몸통양꼬리양봉@D-4, 위꼬리양봉@D-3, 꼬리군@D-1",-
CULP,True,2,상승,"위꼬리양봉@D-2, 꼬리군@D-1",-
LASE,False,0,횡보,-,-
