ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
BMGL,7.14,-11.4,11439.1,227.8,0.2,1235.2,49.4,0.13,7.14,6.625,7.854
ARMP,5.55,-10.0,98.8,26.3,0.3,89.3,6.1,0.43,5.55,4.588,6.105
HAIN,0.6001,-5.3,82.9,24.7,0.3,76.2,-6.2,0.11,0.6,0.563,0.66
AGMH,0.8214,-10.7,1007.1,8.6,0.0,604.3,-6.4,0.13,0.821,0.713,0.904
BDRX,1.12,-13.2,60.5,6.9,18.6,0.4,69.7,0.06,1.12,1.067,1.232
SLGB,0.3405,-8.0,73.5,6.2,0.2,33.9,-12.9,0.18,0.34,0.321,0.375
