signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-07-16,TGHL,5.48,1305.5,20.8,10.17,211.88,1.52,강한매수,전고점돌파,0.63,2.36,18.3,0.0,안정,3.3,0.1,보통,1.52
2026-07-16,JSPR,5.02,16.2,23.9,0.55,13.15,0.774,강한매수,전고점돌파,0.76,3.81,14.6,0.0,안정,6.2,2.1,보통,0.774
2026-07-16,ENTX,4.44,4.5,3.0,0.39,1.16,2.0,강한매수,전고점돌파,0.74,3.79,14.3,-9.5,안정,0.8,0.1,보통,2.0
2026-07-16,ECVT,4.38,1.9,1.8,17.14,31.41,12.88,강한매수,전고점돌파,1.0,4.1,5.2,0.0,안정,3.9,2.1,보통,12.88
2026-07-16,HLN,4.37,2.4,2.0,62.97,128.1,10.11,강한매수,전고점돌파,0.91,3.99,3.1,-1.1,안정,0.3,1.3,보통,10.11
2026-07-16,GOOD,4.34,1.9,1.7,5.29,8.86,13.17,강한매수,전고점돌파,0.97,4.06,3.2,0.0,안정,7.3,5.5,보통,13.17
