signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-08-14,SPAI,5.88,67.8,105.6,0.43,45.44,6.17,강한매수,전고점돌파,0.96,4.05,43.5,-1.4,안정,2.8,4.1,보통,6.17
2026-08-14,AEYE,5.15,14.7,20.3,0.38,7.71,7.99,강한매수,전고점돌파,0.9,3.98,29.1,1.1,안정,3.0,2.8,보통,7.99
2026-08-14,MDXH,4.99,794.3,539.3,0.49,263.88,0.808,강한매수,전고점돌파,0.41,2.09,33.0,0.0,안정,2.7,2.4,보통,0.808
2026-08-14,NPWR,4.78,9.3,10.4,0.75,7.87,1.95,강한매수,전고점돌파,0.76,3.81,25.0,0.1,안정,5.0,3.9,보통,1.95
2026-08-14,VUZI,4.7,4.0,4.5,1.95,8.82,3.1,강한매수,전고점돌파,1.0,4.1,29.2,1.5,안정,22.3,15.8,스퀴즈후보,3.1
2026-08-14,SBC,4.6,3.3,3.5,0.37,1.28,3.66,강한매수,전고점돌파,0.98,4.08,14.7,0.0,안정,4.3,10.3,보통,3.66
