ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
SOXS,2026-06-05,5.855,6.85,5.79,6.84,972691540.735954,5.2,480406832.425571,12.596153846153852,16.82322801024764,2498.1155286129692
SPCE,2026-06-01,7.275,8.9,6.25,7.52,286064093.410922,6.18,42459700.1994865,17.71844660194176,3.3676975945017076,262.4009472328266
SPRC,2026-06-04,13.55,15.79,10.5,11.54,8819457.580536,9.46,170340.794907,43.23467230443974,-14.833948339483404,1.6114239198202203
STAK,2026-06-09,6.0,8.3,4.4,5.65,2997244.901717,5.13,3117571.369981,16.959064327485383,-5.833333333333327,15.99314112800253
STAK,2026-06-10,6.48,7.89,5.43,7.58,1278588.452002,5.65,3117571.369981,14.690265486725664,16.9753086419753,17.61427824039265
STAK,2026-06-12,9.22,9.5,7.612,7.72,726519.371099,8.12,2997244.901717,13.546798029556669,-16.268980477223437,24.33762860194204
TDIC,2026-06-08,7.81,27.0,7.5,12.525,22877649.617769,5.6,265376.213677,39.464285714285715,60.371318822023056,1.4861067965912
TDIC,2026-06-15,6.44,6.5,5.3,5.43,270013.919468,5.7425,393111.459207,12.146277753591654,-15.683229813664607,2.257442554496197
TEO,2026-05-29,15.25,15.25,14.37,14.71,1256712.413883,13.81,763540.361186,10.427226647356983,-3.540983606557371,10.544492387978663
TEUP,2026-06-15,15.5,16.65,13.77,14.71,123845.32212,13.4266,110678.467896,15.442479853425287,-5.096774193548382,1.4860355170524338
TNDM,2026-06-01,19.47,20.04,17.72,19.12,5618580.783169,17.2,2928114.7956189997,13.197674418604649,-1.797637390857719,50.3635744846468
TOPP,2026-05-29,3.15,3.43,2.37,2.55,1082266.834455,2.75,2503399.719717,14.545454545454541,-19.04761904761905,6.88434922922175
TSSI,2026-05-29,15.7,17.49,15.2,16.48,8228596.363468,13.54,1634210.816754,15.952732644017727,4.968152866242045,22.127214458849156
UECG,2026-06-15,4.99,5.515,4.99,5.0822,206062.681092,4.48,307762.062618,11.383928571428566,1.8476953907815643,1.3787740405286402
UPSX,2026-06-15,19.5,21.3038,19.12,19.56,89568.727904,17.45,65796.783,11.747851002865334,0.30769230769230116,1.1481538633499997
USGG,2026-06-08,14.97,14.97,12.92,13.0069,225312.995194,13.31,203753.122899,12.471825694966192,-13.11356045424182,2.71195406578569
