ticker,pass,n_signals,trend,recent_signals,last_candle
HUDI,True,3,하락,"작은몸통양꼬리양봉@D-3, 작은몸통양꼬리양봉@D-2, 양봉팽이군@D-2",-
ARCX,True,2,횡보,"양봉스프링@D-2, 꼬리군@D-2",-
EVGN,True,2,횡보,"작은몸통양꼬리양봉@D-3, 양봉팽이군@D-3",-
SLN,True,1,상승,작은몸통양꼬리양봉@D-4,-
AIFA,True,1,횡보,양봉스프링@D-2,-
NAMI,True,1,하락,작은몸통양꼬리양봉@D-4,-
SION,False,0,횡보,-,-
AUUD,False,0,하락,-,-
DTSS,False,0,하락,-,-
GENK,False,0,횡보,-,-
LRHC,False,0,하락,-,도지
CELZ,False,0,하락,-,-
