signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-09-18,MRNO,5.71,3633.5,2412.1,0.05,113.86,0.345,강한매수,전고점돌파,0.46,2.15,52.5,0.0,안정,17.3,1.1,숏높음,0.345
2026-09-18,QNME,5.67,4365.2,843.3,0.22,183.39,0.558,강한매수,전고점돌파,0.36,2.03,92.5,,?,3.8,0.1,보통,0.558
2026-09-18,REFR,5.18,947.9,1381.6,0.04,59.98,0.651,강한매수,전고점돌파,0.5,2.2,68.3,0.0,안정,1.3,3.4,보통,0.651
2026-09-18,GYRE,5.16,11.9,12.3,0.74,9.09,7.55,강한매수,전고점돌파,0.98,4.08,6.0,9.3,희석진행,5.8,32.1,보통,7.55
2026-09-18,SECZ,5.16,16.0,12.8,18.05,231.18,10.86,강한매수,전고점돌파,0.88,3.96,16.5,,?,,1.6,?,10.86
2026-09-18,TMS,5.13,14.5,17.7,0.91,16.07,8.13,강한매수,전고점돌파,0.89,3.97,8.8,,?,,0.6,?,8.13
