signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-09-01,FRVO,4.93,8.8,10.7,64.97,695.84,19.75,강한매수,전고점돌파,0.91,3.99,19.9,0.2,안정,,3.3,?,19.75
2026-09-01,DBCA,4.85,5.7,3.0,1.47,4.46,10.03,강한매수,전고점돌파,0.99,4.09,0.1,0.0,안정,0.0,0.3,보통,10.03
2026-09-01,GOTU,4.55,3.1,4.5,0.41,1.85,2.16,강한매수,전고점돌파,0.97,4.06,13.1,-1.4,안정,1.9,7.2,보통,2.16
2026-09-01,OSG,4.52,2.7,2.2,2.14,4.63,4.54,강한매수,수횡파,0.91,4.09,3.4,0.1,안정,3.7,3.5,보통,4.54
2026-09-01,ALXO,4.5,3.4,2.4,1.17,2.85,1.98,강한매수,수횡파,0.81,3.97,3.7,2.8,안정,6.1,7.5,보통,1.98
2026-09-01,CTMX,4.48,3.6,3.3,9.8,32.37,3.67,강한매수,전고점돌파,0.85,3.92,10.5,0.1,안정,18.0,12.2,스퀴즈후보,3.67
