sym,date,entry,base,drop_peak_%,r20_%,r60_%,r120_%,r250_%,MFE_%,MAE_%,name
087260.KQ,2024-04-08,2565.0,베이스(완만),67.0,12.1,18.7,-4.1,-25.8,22.8,-32.4,모바일어플라이언스
087260.KQ,2025-09-12,2230.0,베이스(완만),71.0,-14.9,-27.4,-9.2,,10.1,-81.7,모바일어플라이언스
087260.KQ,2026-01-07,2075.0,베이스(완만),74.0,2.4,-8.3,,,18.3,-80.3,모바일어플라이언스
091590.KQ,2023-12-08,7362.9,베이스(완만),57.0,-11.5,-27.5,-39.8,-45.3,-1.3,-50.7,남화토건
090710.KQ,2024-11-13,1539.0,베이스(완만),75.0,-8.6,57.9,38.1,223.6,379.5,-16.8,휴림로봇
090710.KQ,2024-12-26,1481.0,베이스(완만),73.0,13.7,33.1,136.0,461.1,473.9,-3.2,휴림로봇
065170.KQ,2023-07-06,2326.7,베이스(완만),76.0,-12.5,-22.6,-27.7,-21.3,-3.3,-52.3,비엘팜텍
065170.KQ,2023-09-27,2093.3,베이스(완만),80.0,-29.5,-19.6,-23.2,-39.2,-2.4,-47.0,비엘팜텍
065170.KQ,2023-11-15,1683.3,베이스(완만),85.0,3.8,-17.2,-3.6,-57.8,21.4,-59.0,비엘팜텍
065170.KQ,2024-01-30,1526.7,베이스(완만),89.0,-11.1,6.8,19.9,-45.7,33.8,-60.1,비엘팜텍
065170.KQ,2025-02-13,828.3,베이스(완만),94.0,83.6,11.5,-5.8,487.3,727.0,-49.4,비엘팜텍
065170.KQ,2026-01-09,544.0,베이스(완만),94.0,819.1,375.2,,,1159.2,-10.1,비엘팜텍
309930.KQ,2025-04-30,3250.0,베이스(완만),78.0,20.4,16.9,4.6,-15.0,38.5,-68.7,조이웍스앤코
043260.KQ,2025-10-10,1145.0,베이스(완만),57.0,85.2,877.3,3445.9,,4546.3,11.5,성호전자
067310.KQ,2025-07-30,12634.7,베이스(완만),63.0,9.2,132.0,186.9,,331.4,-8.6,하나마이크론
098460.KQ,2023-06-28,16386.7,베이스(완만),55.0,-22.7,-27.3,1.3,-21.2,31.7,-35.0,고영
098460.KQ,2023-12-11,13181.7,베이스(완만),63.0,16.2,54.7,-1.6,-36.0,63.7,-43.1,고영
098460.KQ,2025-01-20,12038.0,베이스(완만),69.0,54.7,10.2,26.3,165.7,179.7,-0.1,고영
100090.KS,2024-06-21,14650.0,베이스(완만),55.0,-7.5,6.0,-13.0,41.0,45.1,-25.7,SK오션플랜트
008350.KS,2025-04-09,1404.0,베이스(완만),81.0,-7.5,-10.5,-23.0,71.7,119.4,-28.2,남선알미늄
008350.KS,2025-12-26,1310.0,베이스(완만),85.0,-7.6,5.7,,,135.1,-11.1,남선알미늄
008350.KS,2026-03-05,1410.0,베이스(완만),83.0,26.2,0.4,,,118.4,-14.3,남선알미늄
036010.KQ,2025-08-08,6034.4,베이스(완만),72.0,12.2,30.0,34.6,,122.6,0.2,아비코전자
066570.KS,2024-05-28,106630.6,베이스근접,50.0,1.9,-9.8,-14.3,-31.0,4.7,-40.2,LG전자
027740.KS,2026-02-19,1756.0,베이스(완만),84.0,-7.1,-9.5,,,2.4,-44.9,마니커
351320.KQ,2025-09-18,1526.0,베이스(완만),82.0,3.9,-18.8,-18.1,,13.5,-43.4,넥사다이내믹스
351320.KQ,2026-01-22,1260.0,베이스(완만),85.0,12.7,13.5,,,27.5,-31.5,넥사다이내믹스
351320.KQ,2026-02-24,1420.0,베이스(완만),84.0,-7.3,2.4,,,13.1,-39.2,넥사다이내믹스
011000.KS,2023-07-21,4040.0,베이스(완만),90.0,8.5,-26.5,-30.4,-32.4,22.2,-50.0,진원생명과학
011000.KS,2024-03-26,2785.0,베이스(완만),93.0,-13.1,-24.6,-12.0,-30.4,51.3,-31.8,진원생명과학
011000.KS,2024-07-26,2295.0,베이스(완만),95.0,33.8,-0.7,-4.6,5.9,83.7,-17.6,진원생명과학
011000.KS,2024-10-30,2580.0,베이스(완만),94.0,-14.9,-17.2,-14.5,-11.8,46.7,-26.7,진원생명과학
011000.KS,2025-01-08,2710.0,베이스(완만),94.0,-22.1,-30.3,-10.9,-37.5,39.7,-37.7,진원생명과학
011000.KS,2025-05-22,3365.0,베이스(완만),94.0,-22.9,-32.1,-38.9,-63.7,12.5,-79.2,진원생명과학
138360.KQ,2023-11-16,1119.0,베이스(완만),83.0,5.5,-15.0,-16.2,-29.3,27.7,-34.2,앤로보틱스
138360.KQ,2024-02-07,994.0,베이스(완만),83.0,-9.8,-9.5,-15.2,-39.4,19.0,-40.5,앤로보틱스
138360.KQ,2024-05-13,960.0,베이스(완만),80.0,-5.4,-12.1,-18.3,-23.5,27.4,-41.5,앤로보틱스
138360.KQ,2025-04-18,941.0,베이스(완만),85.0,-18.2,-25.2,-20.8,300.6,324.5,-29.2,앤로보틱스
138360.KQ,2025-08-08,943.0,베이스(완만),84.0,-15.3,-3.1,221.3,,323.6,-21.4,앤로보틱스
003530.KS,2023-10-24,2515.0,베이스(완만),72.0,8.9,40.2,35.8,34.0,93.4,-8.7,한화투자증권
003530.KS,2023-12-04,3515.0,베이스(완만),65.0,-9.4,36.0,-5.7,10.1,38.4,-15.2,한화투자증권
003530.KS,2024-01-11,4400.0,베이스(완만),60.0,-12.3,-16.7,-26.2,-15.1,10.6,-32.3,한화투자증권
017550.KS,2024-05-20,2081.2,베이스(완만),75.0,-2.4,-9.2,-15.0,-12.7,6.7,-23.9,수산세보틱스
017550.KS,2024-07-16,2071.3,베이스(완만),75.0,-8.7,-18.1,-2.8,-12.1,7.2,-23.5,수산세보틱스
017550.KS,2025-08-08,1899.5,베이스근접,78.0,-0.1,-11.1,-6.7,,103.2,-14.1,수산세보틱스
382840.KQ,2025-01-10,11330.0,베이스(완만),80.0,0.5,-22.7,-17.7,-28.1,5.9,-35.6,원준
382840.KQ,2026-01-27,10660.0,베이스(완만),83.0,-2.1,-3.3,,,1.7,-35.7,원준
382840.KQ,2026-04-21,10430.0,베이스(완만),81.0,-24.7,,,,1.8,-34.3,원준
255220.KQ,2023-06-23,1965.0,베이스(완만),51.0,-27.8,-40.6,-15.3,-22.6,40.7,-44.6,SG
255220.KQ,2023-10-24,1176.0,베이스(완만),61.0,1.6,22.8,31.7,127.9,199.3,-7.5,SG
255220.KQ,2023-11-30,1410.0,베이스(완만),60.0,20.6,31.3,-1.8,112.1,165.6,-8.8,SG
010690.KS,2025-07-23,8857.5,베이스(완만),61.0,-0.9,-2.3,10.4,,75.6,-16.5,화신
067170.KQ,2023-08-02,5116.7,베이스(완만),78.0,1.5,-15.6,-12.0,-22.3,17.8,-25.8,오텍
067170.KQ,2025-06-25,2695.0,베이스(완만),90.0,-15.0,-27.2,-29.5,,57.7,-37.5,오텍
067170.KQ,2025-12-03,2430.0,베이스(완만),91.0,-21.4,-25.8,9.3,,74.9,-30.5,오텍
067170.KQ,2026-04-08,2185.0,베이스(완만),91.0,60.9,,,,94.5,-5.9,오텍
336260.KS,2024-05-23,25400.0,베이스(완만),67.0,-11.0,-27.6,-37.7,-28.1,3.1,-49.7,두산퓨얼셀
084650.KQ,2024-05-16,2855.0,베이스(완만),72.0,-17.0,32.4,0.9,-7.4,78.6,-29.8,랩지노믹스
084650.KQ,2024-08-02,3080.0,베이스(완만),73.0,-6.0,10.9,-9.1,-21.4,65.6,-34.9,랩지노믹스
084650.KQ,2024-09-11,2960.0,베이스(완만),72.0,12.0,-13.5,-19.4,-20.1,25.3,-32.3,랩지노믹스
084650.KQ,2025-01-02,2630.0,베이스(완만),75.0,5.7,-19.0,-7.2,-37.1,41.1,-37.1,랩지노믹스
084650.KQ,2025-04-01,2355.0,베이스(완만),77.0,-7.4,1.9,0.4,-46.5,32.5,-48.3,랩지노믹스
084650.KQ,2025-05-20,2505.0,베이스(완만),77.0,8.6,-4.8,-8.6,-64.3,24.6,-64.6,랩지노믹스
084650.KQ,2025-08-01,2370.0,베이스(완만),76.0,-6.5,-3.2,-25.8,,5.7,-63.5,랩지노믹스
084650.KQ,2026-04-17,1803.0,베이스(완만),87.0,-29.0,,,,-8.1,-52.1,랩지노믹스
205500.KQ,2023-06-28,2435.0,베이스(완만),80.0,-14.2,-46.7,-30.7,-39.8,2.1,-55.2,넥써쓰
205500.KQ,2023-11-08,1584.0,베이스(완만),86.0,18.4,25.9,13.6,-34.3,31.9,-36.2,넥써쓰
001250.KS,2024-06-21,3149.9,베이스(완만),53.0,14.2,24.3,-13.7,-14.5,34.3,-25.6,GS글로벌
229000.KQ,2023-07-31,3950.0,베이스(완만),88.0,24.3,12.4,34.4,-38.0,117.7,-43.7,젠큐릭스
229000.KQ,2024-05-24,3240.0,베이스(완만),87.0,-15.1,10.3,-44.4,-46.4,17.3,-64.2,젠큐릭스
229000.KQ,2024-09-05,2965.0,베이스(완만),89.0,-12.1,-56.7,-37.7,-47.0,-2.7,-60.9,젠큐릭스
229000.KQ,2025-11-17,1720.0,베이스(완만),94.0,-8.2,13.4,60.8,,241.3,-15.2,젠큐릭스
229000.KQ,2026-01-09,2000.0,베이스(완만),94.0,-20.1,26.0,,,193.5,-20.1,젠큐릭스
005950.KS,2024-08-20,11180.0,베이스(완만),78.0,-24.7,-40.3,-37.0,-51.0,-6.8,-55.5,이수화학
005950.KS,2025-06-26,6710.0,베이스(완만),85.0,-4.5,-16.7,32.3,,148.9,-22.5,이수화학
005950.KS,2025-10-22,7550.0,베이스(완만),85.0,31.9,27.2,20.5,,121.2,-5.2,이수화학
332570.KQ,2024-02-07,3440.0,베이스(완만),85.0,-3.6,-7.8,-17.0,20.9,52.6,-37.6,PS일렉트로닉스
332570.KQ,2024-07-19,3415.0,베이스(완만),83.0,-19.3,-23.9,-10.5,-17.0,53.7,-37.2,PS일렉트로닉스
332570.KQ,2025-06-11,3590.0,베이스(완만),85.0,-11.1,30.2,41.8,,295.0,-21.0,PS일렉트로닉스
076610.KQ,2025-04-28,717.0,베이스(완만),93.0,25.2,-20.8,-20.1,215.2,288.4,-31.1,해성옵틱스
076610.KQ,2025-07-30,741.0,베이스(완만),94.0,-26.9,-24.2,125.2,,275.8,-33.3,해성옵틱스
076610.KQ,2026-01-22,1972.0,베이스(완만),93.0,-26.8,-24.7,,,41.2,-53.0,해성옵틱스
388790.KQ,2025-06-11,2760.0,베이스(완만),51.0,-12.7,-13.4,-9.4,,218.5,-22.1,라이콤
