ticker,date,ratio,dollar_surge_x,avg_dollar_vol_M,dollar_vol_M,intraday_chg_%,gap_%,close_pos,range_%,price,prior7_%,up_streak,fwd_oc_net_%
ABAT,2026-06-08,10.069507504219875,10.355395933070234,24.844429100727968,257.2739000691302,-5.000000000000004,28.617363344051448,0.4942115319770707,22.2425,3.8,0.26385224274405594,1,-15.753012048192764
ABTS,2026-06-02,214.2155268741561,1.7736753658508047,22.16945648490753,39.32141884158186,-19.375000000000004,49.532710280373834,0.40707964601769914,35.3125,2.58,202.71031326997536,3,-17.376033057851235
ABTS,2026-06-03,15.576632258107345,0.13881511196711244,26.097716124265713,3.62275738587586,-14.876033057851235,-6.201550387596905,0.16002133617815717,30.987603305785132,2.06,139.53488372093025,0,11.04166666666668
ACTU,2026-06-12,18.38117957322505,11.4894857188651,0.211598854631553,2.4311620184174405,0.4975124378109568,1.0050251256281304,0.1253308781217632,43.228855721393025,2.02,10.989010989010994,2,-6.705607476635528
ADCT,2026-06-04,19.292598549921216,6.4756435851920155,2.576503080023122,16.6845156423792,-3.6496350364963535,-55.51948051948051,0.03846153846153849,18.97810218978102,1.32,-62.39316239316239,0,-26.764705882352942
ADCT,2026-06-05,10.286545670191215,1.9544844590881305,4.02951972775525,7.875633685486671,-24.264705882352942,3.030303030303033,0.04109589041095925,26.838235294117645,1.03,-69.97084548104957,0,-11.126168224299068
ADCT,2026-06-08,10.218743309955173,2.6999013698126926,4.5239290453477174,12.214162226469728,-8.626168224299068,3.883495145631071,0.6821625344352616,27.14018691588786,0.9777,-71.6608695652174,0,10.902061855670116
ADIL,2026-05-19,23.64685756656791,20.15930187398578,0.18170087273690796,3.66296274427,25.609756097560986,1.8633540372670687,0.6999999999999998,36.58536585365856,2.06,44.05594405594406,3,11.02657004830919
ADTX,2026-05-22,32.16155163193611,10.005361615822641,0.655808463607123,6.561600829106328,-34.822784810126585,-35.245901639344254,0.10714314270560428,47.49354430379746,0.5149,-77.35110407319434,0,-27.092592592592595
AEHL,2026-05-11,533.0952860367254,,,72.91532971561267,22.222222222222225,-2.500000000000002,0.5873015873015872,53.84615384615385,1.43,181.49606299212599,3,69.74489795918365
AEHL,2026-05-12,494.20857695078564,,,105.02090211989466,72.24489795918365,-14.335664335664324,0.6793893129770993,106.93877551020405,2.11,315.43610947036814,4,17.169421487603316
AEMD,2026-05-26,65.30746626097647,72.85050562727731,0.35383772016500403,25.7772568240236,-3.1620553359683647,14.999999999999982,0.4000000000000002,17.786561264822144,2.45,14.485981308411212,5,5.980565371024728
AEMD,2026-05-27,61.03668072321746,17.00271761557836,2.897410230267033,49.263847961718234,8.480565371024728,15.510204081632647,0.7924528301886787,18.7279151943463,3.07,46.19047619047618,6,11.453488372093018
