signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-09-09,EQ,4.85,5.6,3.5,0.79,2.79,2.56,강한매수,전고점돌파,1.0,4.1,6.2,0.3,안정,10.1,11.1,스퀴즈후보,2.56
2026-09-09,NAUT,4.67,4.9,6.7,0.65,4.35,1.12,강한매수,전고점돌파,0.9,3.98,18.6,0.1,안정,5.0,3.8,보통,1.12
2026-09-09,IBX,4.3,2.2,1.6,3.93,6.1,18.57,강한매수,전고점돌파,0.88,3.96,6.7,,?,,,?,18.57
2026-09-09,SGLY,4.27,8.9,3.6,0.84,3.0,1.89,강한매수,완만한상승,0.85,3.32,16.7,-25.9,안정,0.3,0.0,보통,1.89
2026-09-09,SSL,4.22,2.9,3.7,19.76,72.28,14.58,강한매수,전고점돌파,0.72,3.76,3.3,0.5,안정,1.1,5.7,보통,14.58
2026-09-09,AVAH,4.2,1.4,1.1,39.19,44.01,14.02,강한매수,전고점돌파,0.96,4.05,2.6,0.2,안정,6.0,2.1,보통,14.02
