ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
OABI,3.82,-8.7,19.9,70.1,3.0,23.4,11.4,0.18,3.82,3.604,4.202
STFS,4.21,-7.5,226.7,24.9,1.8,14.2,5.2,0.05,4.21,3.948,4.631
INV,1.385,-14.5,15.5,22.5,10.3,2.2,-61.5,0.17,1.385,1.29,1.524
BZAI,0.5206,-5.6,11.6,17.2,6.8,2.5,-55.5,0.69,0.521,0.407,0.573
CURI,2.95,-10.6,13.9,11.2,10.9,1.0,-26.1,0.1,2.95,2.823,3.245
WOK,2.33,-6.8,18.1,8.3,1.2,6.9,11.5,0.07,2.33,2.202,2.563
GCTK,0.342,-12.3,24.3,8.2,4.1,2.0,-6.4,0.13,0.342,0.323,0.376
FGI,9.08,-11.0,51.1,6.0,123.4,0.0,-22.5,0.23,9.08,8.245,9.988
ARTL,0.721,-8.5,55.8,4.7,0.1,38.2,-5.0,0.28,0.721,0.669,0.793
XHG,3.91,-6.7,157.5,2.4,36.1,0.1,-4.6,0.4,3.91,3.424,4.301
