ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
RMCF,1.52,-12.6,6525.5,308.8,0.0,12604.4,94.7,0.32,1.52,1.183,1.672
SLN,13.58,-7.9,10.5,73.9,34.4,2.2,-12.0,0.02,13.58,13.144,14.938
NCMI,2.22,-14.9,33.9,23.5,1.4,17.4,-43.8,0.09,2.22,2.095,2.442
BNTC,12.34,-9.1,15.3,15.7,0.9,16.9,-10.4,0.06,12.34,11.873,13.574
WXM,4.76,-8.5,10.1,3.0,33.6,0.1,19.0,0.58,4.76,3.996,5.236
