순위,종목,시장,총점,등급,위치,신호,폭증,리스크,모멘텀,진입,손절,위험%,폭증배,당일%,베이스
1,주연테크,KOSPI,75.3,A,85.2,65.0,69.9,71.6,88.0,1327.0,1264.2,4.7,15.4,7.0,베이스(완만)
2,한신기계,KOSPI,67.6,B,80.8,20.0,84.9,95.3,70.8,2830.0,2807.7,0.8,27.7,2.7,베이스(완만)
3,하이스틸,KOSPI,65.9,B,77.6,60.0,63.5,64.8,52.0,3290.0,3096.8,5.9,12.0,-1.6,베이스(완만)
4,삼화네트웍스,KOSDAQ,63.9,B,82.0,60.0,100.0,11.8,25.0,1683.0,1435.7,14.7,69.4,30.0,베이스(완만)
5,위더스제약,KOSDAQ,62.9,B,74.0,65.0,100.0,4.6,37.5,8390.0,7056.0,15.9,55.6,-4.5,베이스(완만)
6,원준,KOSDAQ,60.8,B,85.6,20.0,74.0,56.3,68.4,7600.0,7046.2,7.3,18.1,2.1,베이스(완만)
7,삼익제약,KOSDAQ,58.2,C,38.0,80.0,80.2,51.2,31.0,6550.0,6017.2,8.1,23.0,-5.8,데이터부족
8,율촌,KOSDAQ,51.4,C,38.0,40.0,100.0,0.0,100.0,1283.0,929.0,27.6,201.5,16.0,데이터부족
9,키스트론,KOSDAQ,49.3,C,38.0,20.0,99.5,26.7,90.0,4985.0,4375.7,12.2,49.0,7.5,데이터부족
10,남화토건,KOSDAQ,48.5,C,36.8,60.0,100.0,0.0,25.0,5690.0,3415.3,40.0,58.4,30.0,비전형
11,코칩,KOSDAQ,45.7,C,38.0,25.0,65.2,33.4,100.0,24250.0,21560.0,11.1,12.8,14.3,데이터부족
12,파라택시스이더리움,KOSDAQ,43.9,D,38.0,40.0,100.0,0.0,25.0,1240.0,1030.0,16.9,53.5,30.0,데이터부족
13,한켐,KOSDAQ,42.4,D,38.0,25.0,49.0,36.4,95.2,14480.0,12945.8,10.6,6.8,8.8,데이터부족
14,에이텀,KOSDAQ,39.7,D,38.0,20.0,66.3,0.0,100.0,5560.0,4140.5,25.5,13.4,11.6,데이터부족
