ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
MTNB,0.332,-12.6,298.0,68.5,1.8,38.5,33.2,0.18,0.332,0.302,0.365
JZXN,1.35,-9.4,38.2,19.5,7.8,2.5,3.8,0.14,1.35,1.261,1.485
DCOY,3.74,-8.1,76.4,4.1,0.1,46.4,-24.3,0.04,3.74,3.599,4.114
