ticker,prior_close,pm_price,gap_%,pm_high,pm_bars,매수참고,손절,익절목표
LNKS,1.6,2.796,74.8,4.97,275,2.796,2.573,3.076
SPRO,2.11,2.47,17.1,2.75,273,2.47,2.272,2.717
BIRD,5.48,6.35,15.9,6.69,240,6.35,5.842,6.985
ATPC,2.73,3.1,13.6,4.34,271,3.1,2.852,3.41
OBAI,1.03,1.12,8.7,1.15,270,1.12,1.03,1.232
NEOV,2.12,2.25,6.1,2.29,214,2.25,2.07,2.475
