signal_date,ticker,rank_score,ratio,dollar_surge_x,avg_dollar_vol_10d_M,dollar_volume_M,latest_close,candle_signal,candle_pos,close_pos,candle_score,intraday_chg_%,shares_chg_90d_%,희석,short_%float,days_to_cover,숏스퀴즈,매수참고
2026-07-10,AARD,5.18,16.4,15.7,1.98,31.09,7.6,강한매수,전고점돌파,0.89,3.97,51.1,0.0,안정,3.7,2.4,보통,7.6
2026-07-10,JZXN,4.76,536.1,1472.1,0.22,317.4,2.17,강한매수,전고점돌파,0.36,2.03,34.0,0.0,안정,4.9,0.0,보통,2.17
2026-07-10,AMWL,4.65,6.0,4.9,0.71,3.47,9.91,강한매수,전고점돌파,0.81,3.87,9.0,0.9,안정,1.2,1.7,보통,9.91
2026-07-10,RPID,4.51,4.6,4.8,0.33,1.59,2.05,강한매수,전고점돌파,0.79,3.85,18.8,8.9,희석진행,2.4,4.5,보통,2.05
2026-07-10,VVR,4.33,1.7,1.5,2.02,3.04,3.02,강한매수,전고점돌파,1.0,4.1,1.0,0.0,안정,0.2,0.4,보통,3.02
2026-07-10,ASC,4.26,1.7,1.2,12.24,15.12,16.39,강한매수,전고점돌파,0.94,4.03,5.2,0.0,안정,6.1,3.7,보통,16.39
