ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
ASPN,6.89,-5.6,13.8,99.2,5.1,19.6,36.2,0.28,6.89,6.218,7.579
AHCO,6.045,-6.1,11.5,64.7,27.9,2.3,-9.9,0.27,6.045,5.713,6.65
