ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
ENSC,0.3842,-11.4,677.7,69.9,3.5,20.1,51.9,0.22,0.384,0.346,0.423
NUWE,1.88,-11.7,21.0,67.2,56.3,1.2,8.0,0.19,1.88,1.698,2.068
AAOZ,12.04,-8.1,15.1,42.0,7.0,6.0,-59.3,0.37,12.04,10.088,13.244
NVOX,13.18,-14.0,12.9,33.7,4.8,7.1,-12.3,0.09,13.18,12.479,14.498
DXST,2.71,-9.4,247.3,32.3,1.1,28.3,18.3,0.09,2.71,2.58,2.981
FCUV,10.6,-10.5,97.1,18.9,134.2,0.1,-8.6,0.21,10.6,9.312,11.66
CYCU,0.83,-14.4,28.7,18.7,124.2,0.2,-6.5,0.18,0.83,0.776,0.913
BAER,1.78,-11.4,12.3,8.4,0.9,9.1,-8.2,0.15,1.78,1.688,1.958
CATG,12.51,-10.0,10.5,4.9,0.5,9.9,16.7,0.21,12.51,11.786,13.761
EZRA,2.22,-12.9,13.4,3.6,29.2,0.1,22.0,0.29,2.22,2.019,2.442
